,trade_dt,fund_id,s_info_windcode,shares,s_dq_close,opdate
0,2025-08-26,61,688800.SH,11,70.1,2025-08-26 15:47:22
1,2025-08-26,61,688788.SH,0,71.52,2025-08-26 15:47:22
2,2025-08-26,61,688777.SH,100,51.5,2025-08-26 15:47:22
3,2025-08-26,61,688776.SH,100,87.2,2025-08-26 15:47:22
4,2025-08-26,61,688766.SH,58,76.0,2025-08-26 15:47:22
5,2025-08-26,61,688757.SH,130,33.18,2025-08-26 15:47:22
6,2025-08-26,61,688750.SH,100,23.76,2025-08-26 15:47:22
7,2025-08-26,61,688719.SH,275,40.07,2025-08-26 15:47:22
8,2025-08-26,61,688711.SH,678,27.68,2025-08-26 15:47:22
9,2025-08-26,61,688707.SH,102,15.75,2025-08-26 15:47:22
10,2025-08-26,61,688700.SH,368,44.4,2025-08-26 15:47:22
11,2025-08-26,61,688690.SH,250,28.99,2025-08-26 15:47:22
12,2025-08-26,61,688679.SH,462,17.85,2025-08-26 15:47:22
13,2025-08-26,61,688678.SH,14,29.26,2025-08-26 15:47:22
14,2025-08-26,61,688668.SH,290,106.85,2025-08-26 15:47:22
15,2025-08-26,61,688658.SH,495,31.8,2025-08-26 15:47:22
16,2025-08-26,61,688655.SH,90,24.81,2025-08-26 15:47:22
17,2025-08-26,61,688636.SH,418,37.9,2025-08-26 15:47:22
18,2025-08-26,61,688630.SH,174,128.81,2025-08-26 15:47:22
19,2025-08-26,61,688629.SH,64,80.62,2025-08-26 15:47:22
20,2025-08-26,61,688621.SH,136,72.1,2025-08-26 15:47:22
21,2025-08-26,61,688612.SH,129,36.87,2025-08-26 15:47:22
22,2025-08-26,61,688609.SH,0,12.01,2025-08-26 15:47:22
23,2025-08-26,61,688607.SH,169,29.3,2025-08-26 15:47:22
24,2025-08-26,61,688603.SH,522,86.0,2025-08-26 15:47:22
25,2025-08-26,61,688591.SH,437,52.88,2025-08-26 15:47:22
26,2025-08-26,61,688590.SH,2396,24.62,2025-08-26 15:47:22
27,2025-08-26,61,688567.SH,25,17.62,2025-08-26 15:47:22
