,trade_dt,fund_id,s_info_windcode,shares,s_dq_close,opdate
0,2025-09-02,61,688800.SH,59,70.9,2025-09-02 15:35:49
1,2025-09-02,61,688786.SH,68,26.71,2025-09-02 15:35:49
2,2025-09-02,61,688778.SH,207,61.2,2025-09-02 15:35:49
3,2025-09-02,61,688777.SH,100,49.52,2025-09-02 15:35:49
4,2025-09-02,61,688776.SH,100,79.0,2025-09-02 15:35:49
5,2025-09-02,61,688772.SH,1313,21.24,2025-09-02 15:35:49
6,2025-09-02,61,688766.SH,58,74.46,2025-09-02 15:35:49
7,2025-09-02,61,688757.SH,130,30.3,2025-09-02 15:35:49
8,2025-09-02,61,688750.SH,100,23.52,2025-09-02 15:35:49
9,2025-09-02,61,688719.SH,68,38.0,2025-09-02 15:35:49
10,2025-09-02,61,688711.SH,151,25.86,2025-09-02 15:35:49
11,2025-09-02,61,688707.SH,228,15.31,2025-09-02 15:35:49
12,2025-09-02,61,688700.SH,905,41.55,2025-09-02 15:35:49
13,2025-09-02,61,688690.SH,250,26.48,2025-09-02 15:35:49
14,2025-09-02,61,688678.SH,14,28.52,2025-09-02 15:35:49
15,2025-09-02,61,688668.SH,186,112.84,2025-09-02 15:35:49
16,2025-09-02,61,688665.SH,285,59.15,2025-09-02 15:35:49
17,2025-09-02,61,688660.SH,106,22.15,2025-09-02 15:35:49
18,2025-09-02,61,688658.SH,785,27.92,2025-09-02 15:35:49
19,2025-09-02,61,688655.SH,544,24.2,2025-09-02 15:35:49
20,2025-09-02,61,688639.SH,198,38.69,2025-09-02 15:35:49
21,2025-09-02,61,688636.SH,523,36.3,2025-09-02 15:35:49
22,2025-09-02,61,688630.SH,174,132.06,2025-09-02 15:35:49
23,2025-09-02,61,688629.SH,105,85.5,2025-09-02 15:35:49
24,2025-09-02,61,688622.SH,202,95.77,2025-09-02 15:35:49
25,2025-09-02,61,688621.SH,136,74.9,2025-09-02 15:35:49
26,2025-09-02,61,688619.SH,430,17.1,2025-09-02 15:35:49
27,2025-09-02,61,688612.SH,226,40.25,2025-09-02 15:35:49
28,2025-09-02,61,688607.SH,169,31.85,2025-09-02 15:35:49
29,2025-09-02,61,688603.SH,54,87.2,2025-09-02 15:35:49
30,2025-09-02,61,688590.SH,1028,23.05,2025-09-02 15:35:49
31,2025-09-02,61,688586.SH,1188,11.8,2025-09-02 15:35:49
32,2025-09-02,61,688567.SH,25,19.87,2025-09-02 15:35:49
33,2025-09-02,61,688566.SH,207,42.2,2025-09-02 15:35:49
34,2025-09-02,61,688556.SH,313,11.26,2025-09-02 15:35:49
35,2025-09-02,61,688553.SH,148,24.48,2025-09-02 15:35:49
36,2025-09-02,61,688550.SH,1,44.98,2025-09-02 15:35:49
37,2025-09-02,61,688549.SH,118,8.66,2025-09-02 15:35:49
38,2025-09-02,61,688538.SH,1713,2.78,2025-09-02 15:35:49
39,2025-09-02,61,688523.SH,458,24.47,2025-09-02 15:35:49
40,2025-09-02,61,688520.SH,329,64.32,2025-09-02 15:35:49
41,2025-09-02,61,688519.SH,168,66.99,2025-09-02 15:35:49
42,2025-09-02,61,688512.SH,0,12.49,2025-09-02 15:35:49
43,2025-09-02,61,688510.SH,52,23.68,2025-09-02 15:35:49
44,2025-09-02,61,688503.SH,615,53.0,2025-09-02 15:35:49
45,2025-09-02,61,688499.SH,184,60.57,2025-09-02 15:35:49
46,2025-09-02,61,688498.SH,174,352.0,2025-09-02 15:35:49
47,2025-09-02,61,688496.SH,77,9.71,2025-09-02 15:35:49
48,2025-09-02,61,688488.SH,188,16.67,2025-09-02 15:35:49
49,2025-09-02,61,688486.SH,47,71.0,2025-09-02 15:35:49
50,2025-09-02,61,688484.SH,95,46.6,2025-09-02 15:35:49
51,2025-09-02,61,688475.SH,100,34.14,2025-09-02 15:35:49
52,2025-09-02,61,688469.SH,3322,5.82,2025-09-02 15:35:49
53,2025-09-02,61,688443.SH,584,35.86,2025-09-02 15:35:49
54,2025-09-02,61,688428.SH,1179,28.8,2025-09-02 15:35:49
55,2025-09-02,61,688425.SH,2196,5.65,2025-09-02 15:35:49
56,2025-09-02,61,688418.SH,198,30.8,2025-09-02 15:35:49
57,2025-09-02,61,688410.SH,99,15.93,2025-09-02 15:35:49
58,2025-09-02,61,688409.SH,58,68.88,2025-09-02 15:35:49
59,2025-09-02,61,688403.SH,4412,12.83,2025-09-02 15:35:49
60,2025-09-02,61,688401.SH,627,41.98,2025-09-02 15:35:49
61,2025-09-02,61,688398.SH,26,21.55,2025-09-02 15:35:49
62,2025-09-02,61,688392.SH,210,85.96,2025-09-02 15:35:49
63,2025-09-02,61,688388.SH,101,31.13,2025-09-02 15:35:49
64,2025-09-02,61,688387.SH,2052,6.83,2025-09-02 15:35:49
65,2025-09-02,61,688383.SH,90,72.16,2025-09-02 15:35:49
66,2025-09-02,61,688382.SH,869,40.87,2025-09-02 15:35:49
67,2025-09-02,61,688375.SH,206,66.78,2025-09-02 15:35:49
68,2025-09-02,61,688373.SH,547,8.26,2025-09-02 15:35:49
69,2025-09-02,61,688372.SH,190,81.95,2025-09-02 15:35:49
70,2025-09-02,61,688369.SH,100,27.89,2025-09-02 15:35:49
71,2025-09-02,61,688365.SH,2542,16.21,2025-09-02 15:35:49
72,2025-09-02,61,688351.SH,100,23.88,2025-09-02 15:35:49
73,2025-09-02,61,688347.SH,197,76.8,2025-09-02 15:35:49
74,2025-09-02,61,688337.SH,15,37.17,2025-09-02 15:35:49
75,2025-09-02,61,688336.SH,306,55.12,2025-09-02 15:35:49
76,2025-09-02,61,688328.SH,79,25.19,2025-09-02 15:35:49
77,2025-09-02,61,688327.SH,362,16.29,2025-09-02 15:35:49
78,2025-09-02,61,688326.SH,402,116.58,2025-09-02 15:35:49
79,2025-09-02,61,688322.SH,602,82.77,2025-09-02 15:35:49
80,2025-09-02,61,688321.SH,1661,37.91,2025-09-02 15:35:49
81,2025-09-02,61,688319.SH,35,28.87,2025-09-02 15:35:49
82,2025-09-02,61,688317.SH,23,25.39,2025-09-02 15:35:49
83,2025-09-02,61,688313.SH,202,78.7,2025-09-02 15:35:49
84,2025-09-02,61,688310.SH,106,20.12,2025-09-02 15:35:49
85,2025-09-02,61,688307.SH,198,33.13,2025-09-02 15:35:49
86,2025-09-02,61,688306.SH,1661,12.19,2025-09-02 15:35:49
87,2025-09-02,61,688303.SH,73,29.42,2025-09-02 15:35:49
88,2025-09-02,61,688302.SH,10,60.57,2025-09-02 15:35:49
89,2025-09-02,61,688301.SH,117,113.28,2025-09-02 15:35:49
90,2025-09-02,61,688300.SH,196,53.13,2025-09-02 15:35:49
91,2025-09-02,61,688299.SH,2827,24.96,2025-09-02 15:35:49
92,2025-09-02,61,688281.SH,240,66.8,2025-09-02 15:35:49
93,2025-09-02,61,688280.SH,221,9.61,2025-09-02 15:35:49
94,2025-09-02,61,688270.SH,574,74.04,2025-09-02 15:35:49
95,2025-09-02,61,688267.SH,1143,29.01,2025-09-02 15:35:49
96,2025-09-02,61,688266.SH,284,107.2,2025-09-02 15:35:49
97,2025-09-02,61,688261.SH,80,82.1,2025-09-02 15:35:49
98,2025-09-02,61,688258.SH,476,64.5,2025-09-02 15:35:49
99,2025-09-02,61,688257.SH,161,17.84,2025-09-02 15:35:49
100,2025-09-02,61,688247.SH,108,11.32,2025-09-02 15:35:49
101,2025-09-02,61,688246.SH,100,32.09,2025-09-02 15:35:49
102,2025-09-02,61,688238.SH,991,7.69,2025-09-02 15:35:49
103,2025-09-02,61,688236.SH,137,22.44,2025-09-02 15:35:49
104,2025-09-02,61,688235.SH,38,324.85,2025-09-02 15:35:49
105,2025-09-02,61,688221.SH,0,17.72,2025-09-02 15:35:49
106,2025-09-02,61,688210.SH,49,42.5,2025-09-02 15:35:49
107,2025-09-02,61,688206.SH,704,35.95,2025-09-02 15:35:49
108,2025-09-02,61,688203.SH,165,15.65,2025-09-02 15:35:49
109,2025-09-02,61,688202.SH,387,66.77,2025-09-02 15:35:49
110,2025-09-02,61,688197.SH,271,47.71,2025-09-02 15:35:49
111,2025-09-02,61,688195.SH,115,84.0,2025-09-02 15:35:49
112,2025-09-02,61,688192.SH,212,81.26,2025-09-02 15:35:49
113,2025-09-02,61,688185.SH,228,83.92,2025-09-02 15:35:49
114,2025-09-02,61,688183.SH,210,78.2,2025-09-02 15:35:49
115,2025-09-02,61,688182.SH,858,25.47,2025-09-02 15:35:49
116,2025-09-02,61,688180.SH,277,46.27,2025-09-02 15:35:49
117,2025-09-02,61,688177.SH,214,34.34,2025-09-02 15:35:49
118,2025-09-02,61,688176.SH,118,12.35,2025-09-02 15:35:49
119,2025-09-02,61,688173.SH,321,15.87,2025-09-02 15:35:49
120,2025-09-02,61,688172.SH,0,23.17,2025-09-02 15:35:49
121,2025-09-02,61,688170.SH,417,39.11,2025-09-02 15:35:49
122,2025-09-02,61,688166.SH,365,91.24,2025-09-02 15:35:49
123,2025-09-02,61,688159.SH,238,69.92,2025-09-02 15:35:49
124,2025-09-02,61,688158.SH,130,25.97,2025-09-02 15:35:49
125,2025-09-02,61,688157.SH,145,40.36,2025-09-02 15:35:49
126,2025-09-02,61,688156.SH,571,20.9,2025-09-02 15:35:49
127,2025-09-02,61,688151.SH,12,23.46,2025-09-02 15:35:49
128,2025-09-02,61,688150.SH,601,25.3,2025-09-02 15:35:49
129,2025-09-02,61,688146.SH,183,40.55,2025-09-02 15:35:49
130,2025-09-02,61,688141.SH,0,40.21,2025-09-02 15:35:49
131,2025-09-02,61,688136.SH,238,43.16,2025-09-02 15:35:49
132,2025-09-02,61,688131.SH,150,67.69,2025-09-02 15:35:49
133,2025-09-02,61,688123.SH,135,86.39,2025-09-02 15:35:49
134,2025-09-02,61,688117.SH,411,43.41,2025-09-02 15:35:49
135,2025-09-02,61,688115.SH,318,56.0,2025-09-02 15:35:49
136,2025-09-02,61,688112.SH,287,37.7,2025-09-02 15:35:49
137,2025-09-02,61,688110.SH,31,118.0,2025-09-02 15:35:49
138,2025-09-02,61,688107.SH,101,31.7,2025-09-02 15:35:49
139,2025-09-02,61,688100.SH,161,36.73,2025-09-02 15:35:49
140,2025-09-02,61,688091.SH,451,69.63,2025-09-02 15:35:49
141,2025-09-02,61,688089.SH,412,27.11,2025-09-02 15:35:49
