,trade_dt,fund_id,s_info_windcode,shares,s_dq_close,opdate
0,2025-10-23,61,688819.SH,418,0,2025-10-24 09:21:02
1,2025-10-23,61,688786.SH,204,0,2025-10-24 09:21:02
2,2025-10-23,61,688779.SH,1100,0,2025-10-24 09:21:02
3,2025-10-23,61,688778.SH,89,0,2025-10-24 09:21:02
4,2025-10-23,61,688777.SH,100,0,2025-10-24 09:21:02
5,2025-10-23,61,688776.SH,100,0,2025-10-24 09:21:02
6,2025-10-23,61,688772.SH,684,0,2025-10-24 09:21:02
7,2025-10-23,61,688766.SH,116,0,2025-10-24 09:21:02
8,2025-10-23,61,688758.SH,174,0,2025-10-24 09:21:02
9,2025-10-23,61,688757.SH,130,0,2025-10-24 09:21:02
10,2025-10-23,61,688750.SH,100,0,2025-10-24 09:21:02
11,2025-10-23,61,688719.SH,53,0,2025-10-24 09:21:02
12,2025-10-23,61,688717.SH,141,0,2025-10-24 09:21:02
13,2025-10-23,61,688711.SH,356,0,2025-10-24 09:21:02
14,2025-10-23,61,688708.SH,14,0,2025-10-24 09:21:02
15,2025-10-23,61,688700.SH,380,0,2025-10-24 09:21:02
16,2025-10-23,61,688697.SH,747,0,2025-10-24 09:21:02
17,2025-10-23,61,688690.SH,184,0,2025-10-24 09:21:02
18,2025-10-23,61,688668.SH,186,0,2025-10-24 09:21:02
19,2025-10-23,61,688665.SH,85,0,2025-10-24 09:21:02
20,2025-10-23,61,688663.SH,170,0,2025-10-24 09:21:02
21,2025-10-23,61,688660.SH,1629,0,2025-10-24 09:21:02
22,2025-10-23,61,688658.SH,629,0,2025-10-24 09:21:02
23,2025-10-23,61,688653.SH,40,0,2025-10-24 09:21:02
24,2025-10-23,61,688639.SH,98,0,2025-10-24 09:21:02
25,2025-10-23,61,688636.SH,199,0,2025-10-24 09:21:02
26,2025-10-23,61,688630.SH,174,0,2025-10-24 09:21:02
27,2025-10-23,61,688629.SH,190,0,2025-10-24 09:21:02
28,2025-10-23,61,688626.SH,50,0,2025-10-24 09:21:02
29,2025-10-23,61,688622.SH,2,0,2025-10-24 09:21:02
30,2025-10-23,61,688621.SH,136,0,2025-10-24 09:21:02
31,2025-10-23,61,688620.SH,1453,0,2025-10-24 09:21:02
32,2025-10-23,61,688612.SH,424,0,2025-10-24 09:21:02
33,2025-10-23,61,688611.SH,193,0,2025-10-24 09:21:02
34,2025-10-23,61,688609.SH,224,0,2025-10-24 09:21:02
35,2025-10-23,61,688607.SH,169,0,2025-10-24 09:21:02
36,2025-10-23,61,688603.SH,54,0,2025-10-24 09:21:02
37,2025-10-23,61,688602.SH,43,0,2025-10-24 09:21:02
38,2025-10-23,61,688599.SH,248,0,2025-10-24 09:21:02
39,2025-10-23,61,688598.SH,549,0,2025-10-24 09:21:02
40,2025-10-23,61,688596.SH,21,0,2025-10-24 09:21:02
41,2025-10-23,61,688590.SH,132,0,2025-10-24 09:21:02
42,2025-10-23,61,688584.SH,153,0,2025-10-24 09:21:02
43,2025-10-23,61,688567.SH,1125,0,2025-10-24 09:21:02
44,2025-10-23,61,688559.SH,290,0,2025-10-24 09:21:02
45,2025-10-23,61,688556.SH,1805,0,2025-10-24 09:21:02
46,2025-10-23,61,688553.SH,148,0,2025-10-24 09:21:02
47,2025-10-23,61,688552.SH,97,0,2025-10-24 09:21:02
48,2025-10-23,61,688536.SH,47,0,2025-10-24 09:21:02
49,2025-10-23,61,688526.SH,359,0,2025-10-24 09:21:02
50,2025-10-23,61,688523.SH,137,0,2025-10-24 09:21:02
51,2025-10-23,61,688522.SH,150,0,2025-10-24 09:21:02
52,2025-10-23,61,688520.SH,129,0,2025-10-24 09:21:02
53,2025-10-23,61,688516.SH,34,0,2025-10-24 09:21:02
54,2025-10-23,61,688510.SH,140,0,2025-10-24 09:21:02
55,2025-10-23,61,688509.SH,18837,0,2025-10-24 09:21:02
56,2025-10-23,61,688503.SH,112,0,2025-10-24 09:21:02
57,2025-10-23,61,688499.SH,774,0,2025-10-24 09:21:02
58,2025-10-23,61,688498.SH,174,0,2025-10-24 09:21:02
59,2025-10-23,61,688496.SH,77,0,2025-10-24 09:21:02
60,2025-10-23,61,688488.SH,188,0,2025-10-24 09:21:02
61,2025-10-23,61,688486.SH,47,0,2025-10-24 09:21:02
62,2025-10-23,61,688484.SH,161,0,2025-10-24 09:21:02
63,2025-10-23,61,688480.SH,163,0,2025-10-24 09:21:02
64,2025-10-23,61,688475.SH,100,0,2025-10-24 09:21:02
65,2025-10-23,61,688472.SH,806,0,2025-10-24 09:21:02
66,2025-10-23,61,688469.SH,1950,0,2025-10-24 09:21:02
67,2025-10-23,61,688458.SH,133,0,2025-10-24 09:21:02
68,2025-10-23,61,688443.SH,68,0,2025-10-24 09:21:02
69,2025-10-23,61,688432.SH,154,0,2025-10-24 09:21:02
70,2025-10-23,61,688428.SH,1458,0,2025-10-24 09:21:02
71,2025-10-23,61,688425.SH,3606,0,2025-10-24 09:21:02
72,2025-10-23,61,688418.SH,198,0,2025-10-24 09:21:02
73,2025-10-23,61,688410.SH,676,0,2025-10-24 09:21:02
74,2025-10-23,61,688409.SH,58,0,2025-10-24 09:21:02
75,2025-10-23,61,688408.SH,17,0,2025-10-24 09:21:02
76,2025-10-23,61,688403.SH,3787,0,2025-10-24 09:21:02
77,2025-10-23,61,688401.SH,97,0,2025-10-24 09:21:02
78,2025-10-23,61,688400.SH,14,0,2025-10-24 09:21:02
79,2025-10-23,61,688398.SH,26,0,2025-10-24 09:21:02
80,2025-10-23,61,688392.SH,10,0,2025-10-24 09:21:02
81,2025-10-23,61,688390.SH,180,0,2025-10-24 09:21:02
82,2025-10-23,61,688389.SH,188,0,2025-10-24 09:21:02
83,2025-10-23,61,688387.SH,477,0,2025-10-24 09:21:02
84,2025-10-23,61,688383.SH,90,0,2025-10-24 09:21:02
85,2025-10-23,61,688382.SH,470,0,2025-10-24 09:21:02
86,2025-10-23,61,688378.SH,44,0,2025-10-24 09:21:02
87,2025-10-23,61,688373.SH,2314,0,2025-10-24 09:21:02
88,2025-10-23,61,688372.SH,50,0,2025-10-24 09:21:02
89,2025-10-23,61,688371.SH,216,0,2025-10-24 09:21:02
90,2025-10-23,61,688369.SH,100,0,2025-10-24 09:21:02
91,2025-10-23,61,688365.SH,456,0,2025-10-24 09:21:02
92,2025-10-23,61,688362.SH,170,0,2025-10-24 09:21:02
93,2025-10-23,61,688360.SH,109,0,2025-10-24 09:21:02
94,2025-10-23,61,688352.SH,555,0,2025-10-24 09:21:02
95,2025-10-23,61,688351.SH,492,0,2025-10-24 09:21:02
96,2025-10-23,61,688347.SH,1028,0,2025-10-24 09:21:02
97,2025-10-23,61,688343.SH,246,0,2025-10-24 09:21:02
98,2025-10-23,61,688339.SH,256,0,2025-10-24 09:21:02
99,2025-10-23,61,688337.SH,15,0,2025-10-24 09:21:02
100,2025-10-23,61,688336.SH,55,0,2025-10-24 09:21:02
101,2025-10-23,61,688335.SH,32,0,2025-10-24 09:21:02
102,2025-10-23,61,688334.SH,36,0,2025-10-24 09:21:02
103,2025-10-23,61,688333.SH,50,0,2025-10-24 09:21:02
104,2025-10-23,61,688331.SH,145,0,2025-10-24 09:21:02
105,2025-10-23,61,688328.SH,79,0,2025-10-24 09:21:02
106,2025-10-23,61,688327.SH,795,0,2025-10-24 09:21:02
107,2025-10-23,61,688325.SH,133,0,2025-10-24 09:21:02
108,2025-10-23,61,688322.SH,249,0,2025-10-24 09:21:02
109,2025-10-23,61,688321.SH,433,0,2025-10-24 09:21:02
110,2025-10-23,61,688319.SH,627,0,2025-10-24 09:21:02
111,2025-10-23,61,688317.SH,23,0,2025-10-24 09:21:02
112,2025-10-23,61,688313.SH,172,0,2025-10-24 09:21:02
113,2025-10-23,61,688312.SH,51,0,2025-10-24 09:21:02
114,2025-10-23,61,688311.SH,167,0,2025-10-24 09:21:02
115,2025-10-23,61,688310.SH,248,0,2025-10-24 09:21:02
116,2025-10-23,61,688309.SH,98,0,2025-10-24 09:21:02
117,2025-10-23,61,688307.SH,121,0,2025-10-24 09:21:02
118,2025-10-23,61,688306.SH,1907,0,2025-10-24 09:21:02
119,2025-10-23,61,688303.SH,249,0,2025-10-24 09:21:02
120,2025-10-23,61,688302.SH,10,0,2025-10-24 09:21:02
121,2025-10-23,61,688301.SH,117,0,2025-10-24 09:21:02
122,2025-10-23,61,688300.SH,196,0,2025-10-24 09:21:02
123,2025-10-23,61,688280.SH,1435,0,2025-10-24 09:21:02
124,2025-10-23,61,688270.SH,38,0,2025-10-24 09:21:02
125,2025-10-23,61,688267.SH,92,0,2025-10-24 09:21:02
126,2025-10-23,61,688266.SH,141,0,2025-10-24 09:21:02
127,2025-10-23,61,688262.SH,157,0,2025-10-24 09:21:02
128,2025-10-23,61,688261.SH,80,0,2025-10-24 09:21:02
129,2025-10-23,61,688258.SH,76,0,2025-10-24 09:21:02
130,2025-10-23,61,688257.SH,161,0,2025-10-24 09:21:02
131,2025-10-23,61,688249.SH,368,0,2025-10-24 09:21:02
132,2025-10-23,61,688248.SH,231,0,2025-10-24 09:21:02
133,2025-10-23,61,688247.SH,108,0,2025-10-24 09:21:02
134,2025-10-23,61,688246.SH,78,0,2025-10-24 09:21:02
135,2025-10-23,61,688238.SH,108,0,2025-10-24 09:21:02
