,trade_dt,fund_id,s_info_windcode,shares,s_dq_close,opdate
0,2025-09-22,61,688786.SH,68,27.46,2025-09-22 15:22:56
1,2025-09-22,61,688779.SH,1675,7.16,2025-09-22 15:22:56
2,2025-09-22,61,688778.SH,498,84.35,2025-09-22 15:22:56
3,2025-09-22,61,688777.SH,100,50.63,2025-09-22 15:22:56
4,2025-09-22,61,688776.SH,100,90.95,2025-09-22 15:22:56
5,2025-09-22,61,688757.SH,130,30.5,2025-09-22 15:22:56
6,2025-09-22,61,688750.SH,100,21.43,2025-09-22 15:22:56
7,2025-09-22,61,688733.SH,1766,27.67,2025-09-22 15:22:56
8,2025-09-22,61,688722.SH,599,19.05,2025-09-22 15:22:56
9,2025-09-22,61,688711.SH,151,27.37,2025-09-22 15:22:56
10,2025-09-22,61,688708.SH,14,69.22,2025-09-22 15:22:56
11,2025-09-22,61,688700.SH,523,40.29,2025-09-22 15:22:56
12,2025-09-22,61,688690.SH,767,26.76,2025-09-22 15:22:56
13,2025-09-22,61,688678.SH,14,36.5,2025-09-22 15:22:56
14,2025-09-22,61,688668.SH,186,108.94,2025-09-22 15:22:56
15,2025-09-22,61,688665.SH,85,62.45,2025-09-22 15:22:56
16,2025-09-22,61,688660.SH,169,20.52,2025-09-22 15:22:56
17,2025-09-22,61,688658.SH,1143,23.99,2025-09-22 15:22:56
18,2025-09-22,61,688653.SH,40,13.13,2025-09-22 15:22:56
19,2025-09-22,61,688639.SH,198,33.07,2025-09-22 15:22:56
20,2025-09-22,61,688636.SH,879,33.81,2025-09-22 15:22:56
21,2025-09-22,61,688630.SH,174,150.5,2025-09-22 15:22:56
22,2025-09-22,61,688629.SH,797,107.7,2025-09-22 15:22:56
23,2025-09-22,61,688626.SH,50,53.78,2025-09-22 15:22:56
24,2025-09-22,61,688622.SH,2,116.5,2025-09-22 15:22:56
25,2025-09-22,61,688621.SH,136,76.08,2025-09-22 15:22:56
26,2025-09-22,61,688607.SH,169,31.73,2025-09-22 15:22:56
27,2025-09-22,61,688603.SH,54,80.49,2025-09-22 15:22:56
