,trade_dt,fund_id,s_info_windcode,shares,s_dq_close,opdate
0,2025-09-18,61,688786.SH,68,26.94,2025-09-18 15:18:54
1,2025-09-18,61,688778.SH,0,80.69,2025-09-18 15:18:54
2,2025-09-18,61,688777.SH,100,50.96,2025-09-18 15:18:54
3,2025-09-18,61,688776.SH,100,86.38,2025-09-18 15:18:54
4,2025-09-18,61,688766.SH,1310,102.31,2025-09-18 15:18:54
5,2025-09-18,61,688757.SH,130,30.85,2025-09-18 15:18:54
6,2025-09-18,61,688750.SH,100,21.01,2025-09-18 15:18:54
7,2025-09-18,61,688733.SH,110,27.96,2025-09-18 15:18:54
8,2025-09-18,61,688722.SH,900,19.91,2025-09-18 15:18:54
9,2025-09-18,61,688711.SH,151,27.3,2025-09-18 15:18:54
10,2025-09-18,61,688708.SH,14,68.84,2025-09-18 15:18:54
11,2025-09-18,61,688700.SH,723,40.8,2025-09-18 15:18:54
12,2025-09-18,61,688690.SH,767,26.53,2025-09-18 15:18:54
13,2025-09-18,61,688678.SH,14,32.03,2025-09-18 15:18:54
14,2025-09-18,61,688668.SH,186,113.39,2025-09-18 15:18:54
15,2025-09-18,61,688665.SH,85,64.14,2025-09-18 15:18:54
16,2025-09-18,61,688660.SH,1176,19.29,2025-09-18 15:18:54
17,2025-09-18,61,688658.SH,473,24.11,2025-09-18 15:18:54
18,2025-09-18,61,688653.SH,40,13.25,2025-09-18 15:18:54
19,2025-09-18,61,688639.SH,198,33.2,2025-09-18 15:18:54
20,2025-09-18,61,688636.SH,91,34.53,2025-09-18 15:18:54
21,2025-09-18,61,688630.SH,174,156.0,2025-09-18 15:18:54
22,2025-09-18,61,688629.SH,105,106.21,2025-09-18 15:18:54
23,2025-09-18,61,688626.SH,50,55.86,2025-09-18 15:18:54
24,2025-09-18,61,688622.SH,2,106.01,2025-09-18 15:18:54
25,2025-09-18,61,688621.SH,136,79.58,2025-09-18 15:18:54
26,2025-09-18,61,688613.SH,2668,26.9,2025-09-18 15:18:54
27,2025-09-18,61,688607.SH,169,28.47,2025-09-18 15:18:54
28,2025-09-18,61,688603.SH,54,79.2,2025-09-18 15:18:54
29,2025-09-18,61,688602.SH,43,8.44,2025-09-18 15:18:54
30,2025-09-18,61,688596.SH,293,36.78,2025-09-18 15:18:54
31,2025-09-18,61,688593.SH,0,25.27,2025-09-18 15:18:54
32,2025-09-18,61,688590.SH,332,22.43,2025-09-18 15:18:54
33,2025-09-18,61,688586.SH,65,10.73,2025-09-18 15:18:54
34,2025-09-18,61,688584.SH,640,24.67,2025-09-18 15:18:54
35,2025-09-18,61,688567.SH,171,21.4,2025-09-18 15:18:54
36,2025-09-18,61,688556.SH,2413,11.33,2025-09-18 15:18:54
37,2025-09-18,61,688553.SH,148,25.71,2025-09-18 15:18:54
38,2025-09-18,61,688548.SH,978,11.2,2025-09-18 15:18:54
39,2025-09-18,61,688538.SH,188,2.82,2025-09-18 15:18:54
40,2025-09-18,61,688536.SH,47,159.5,2025-09-18 15:18:54
41,2025-09-18,61,688526.SH,111,18.01,2025-09-18 15:18:54
42,2025-09-18,61,688523.SH,137,22.67,2025-09-18 15:18:54
43,2025-09-18,61,688520.SH,129,58.58,2025-09-18 15:18:54
44,2025-09-18,61,688510.SH,52,24.33,2025-09-18 15:18:54
45,2025-09-18,61,688503.SH,112,61.57,2025-09-18 15:18:54
46,2025-09-18,61,688499.SH,184,72.27,2025-09-18 15:18:54
47,2025-09-18,61,688498.SH,174,390.11,2025-09-18 15:18:54
48,2025-09-18,61,688496.SH,77,9.61,2025-09-18 15:18:54
49,2025-09-18,61,688488.SH,188,15.52,2025-09-18 15:18:54
50,2025-09-18,61,688486.SH,47,70.63,2025-09-18 15:18:54
51,2025-09-18,61,688484.SH,95,48.7,2025-09-18 15:18:54
52,2025-09-18,61,688475.SH,100,33.85,2025-09-18 15:18:54
53,2025-09-18,61,688472.SH,4238,11.7,2025-09-18 15:18:54
54,2025-09-18,61,688428.SH,67,27.0,2025-09-18 15:18:54
55,2025-09-18,61,688418.SH,198,30.84,2025-09-18 15:18:54
56,2025-09-18,61,688410.SH,159,14.79,2025-09-18 15:18:54
57,2025-09-18,61,688409.SH,58,63.76,2025-09-18 15:18:54
58,2025-09-18,61,688408.SH,217,46.1,2025-09-18 15:18:54
59,2025-09-18,61,688403.SH,1323,15.48,2025-09-18 15:18:54
60,2025-09-18,61,688401.SH,56,48.15,2025-09-18 15:18:54
61,2025-09-18,61,688398.SH,26,20.36,2025-09-18 15:18:54
62,2025-09-18,61,688392.SH,10,90.97,2025-09-18 15:18:54
63,2025-09-18,61,688389.SH,347,14.0,2025-09-18 15:18:54
64,2025-09-18,61,688383.SH,90,77.79,2025-09-18 15:18:54
65,2025-09-18,61,688382.SH,335,34.32,2025-09-18 15:18:54
66,2025-09-18,61,688373.SH,0,8.29,2025-09-18 15:18:54
67,2025-09-18,61,688372.SH,190,81.99,2025-09-18 15:18:54
68,2025-09-18,61,688371.SH,34,25.97,2025-09-18 15:18:54
69,2025-09-18,61,688369.SH,100,27.69,2025-09-18 15:18:54
70,2025-09-18,61,688351.SH,100,22.76,2025-09-18 15:18:54
71,2025-09-18,61,688347.SH,197,82.49,2025-09-18 15:18:54
72,2025-09-18,61,688343.SH,0,89.18,2025-09-18 15:18:54
73,2025-09-18,61,688337.SH,15,38.43,2025-09-18 15:18:54
74,2025-09-18,61,688336.SH,55,53.75,2025-09-18 15:18:54
75,2025-09-18,61,688335.SH,5197,19.67,2025-09-18 15:18:54
76,2025-09-18,61,688334.SH,36,18.92,2025-09-18 15:18:54
77,2025-09-18,61,688333.SH,33,80.4,2025-09-18 15:18:54
78,2025-09-18,61,688331.SH,6,104.6,2025-09-18 15:18:54
79,2025-09-18,61,688328.SH,79,28.05,2025-09-18 15:18:54
80,2025-09-18,61,688327.SH,1272,17.05,2025-09-18 15:18:54
81,2025-09-18,61,688322.SH,202,91.98,2025-09-18 15:18:54
82,2025-09-18,61,688321.SH,792,32.8,2025-09-18 15:18:54
83,2025-09-18,61,688317.SH,23,24.69,2025-09-18 15:18:54
84,2025-09-18,61,688311.SH,167,35.0,2025-09-18 15:18:54
85,2025-09-18,61,688309.SH,98,24.61,2025-09-18 15:18:54
86,2025-09-18,61,688307.SH,198,35.26,2025-09-18 15:18:54
87,2025-09-18,61,688306.SH,0,14.95,2025-09-18 15:18:54
88,2025-09-18,61,688303.SH,73,29.63,2025-09-18 15:18:54
89,2025-09-18,61,688302.SH,10,54.77,2025-09-18 15:18:54
90,2025-09-18,61,688301.SH,117,110.65,2025-09-18 15:18:54
91,2025-09-18,61,688300.SH,196,56.6,2025-09-18 15:18:54
92,2025-09-18,61,688299.SH,605,23.8,2025-09-18 15:18:54
93,2025-09-18,61,688280.SH,922,9.04,2025-09-18 15:18:54
94,2025-09-18,61,688277.SH,68,18.07,2025-09-18 15:18:54
95,2025-09-18,61,688270.SH,38,71.39,2025-09-18 15:18:54
96,2025-09-18,61,688267.SH,92,28.26,2025-09-18 15:18:54
97,2025-09-18,61,688266.SH,84,108.09,2025-09-18 15:18:54
98,2025-09-18,61,688261.SH,80,83.59,2025-09-18 15:18:54
99,2025-09-18,61,688258.SH,76,73.0,2025-09-18 15:18:54
100,2025-09-18,61,688257.SH,161,19.68,2025-09-18 15:18:54
101,2025-09-18,61,688247.SH,108,10.94,2025-09-18 15:18:54
102,2025-09-18,61,688246.SH,78,30.77,2025-09-18 15:18:54
103,2025-09-18,61,688238.SH,108,7.72,2025-09-18 15:18:54
104,2025-09-18,61,688236.SH,39,22.68,2025-09-18 15:18:54
105,2025-09-18,61,688235.SH,38,314.95,2025-09-18 15:18:54
106,2025-09-18,61,688226.SH,68,52.0,2025-09-18 15:18:54
107,2025-09-18,61,688225.SH,468,20.19,2025-09-18 15:18:54
108,2025-09-18,61,688223.SH,0,5.35,2025-09-18 15:18:54
109,2025-09-18,61,688222.SH,184,25.61,2025-09-18 15:18:54
110,2025-09-18,61,688221.SH,0,15.54,2025-09-18 15:18:54
111,2025-09-18,61,688218.SH,682,27.11,2025-09-18 15:18:54
112,2025-09-18,61,688210.SH,49,57.37,2025-09-18 15:18:54
113,2025-09-18,61,688209.SH,154,20.87,2025-09-18 15:18:54
114,2025-09-18,61,688208.SH,469,38.46,2025-09-18 15:18:54
115,2025-09-18,61,688206.SH,0,36.88,2025-09-18 15:18:54
116,2025-09-18,61,688202.SH,187,76.0,2025-09-18 15:18:54
117,2025-09-18,61,688197.SH,71,44.82,2025-09-18 15:18:54
118,2025-09-18,61,688195.SH,115,114.96,2025-09-18 15:18:54
119,2025-09-18,61,688192.SH,12,71.02,2025-09-18 15:18:54
120,2025-09-18,61,688191.SH,49,28.68,2025-09-18 15:18:54
121,2025-09-18,61,688189.SH,338,12.63,2025-09-18 15:18:54
122,2025-09-18,61,688186.SH,178,25.48,2025-09-18 15:18:54
123,2025-09-18,61,688185.SH,28,82.0,2025-09-18 15:18:54
124,2025-09-18,61,688183.SH,10,91.29,2025-09-18 15:18:54
125,2025-09-18,61,688179.SH,92,12.64,2025-09-18 15:18:54
126,2025-09-18,61,688177.SH,378,30.21,2025-09-18 15:18:54
127,2025-09-18,61,688176.SH,118,11.13,2025-09-18 15:18:54
128,2025-09-18,61,688173.SH,669,16.34,2025-09-18 15:18:54
129,2025-09-18,61,688166.SH,325,94.82,2025-09-18 15:18:54
130,2025-09-18,61,688165.SH,861,27.55,2025-09-18 15:18:54
131,2025-09-18,61,688161.SH,198,35.3,2025-09-18 15:18:54
132,2025-09-18,61,688159.SH,38,77.48,2025-09-18 15:18:54
133,2025-09-18,61,688158.SH,130,25.75,2025-09-18 15:18:54
134,2025-09-18,61,688156.SH,171,20.31,2025-09-18 15:18:54
135,2025-09-18,61,688150.SH,386,25.29,2025-09-18 15:18:54
136,2025-09-18,61,688148.SH,43,5.91,2025-09-18 15:18:54
137,2025-09-18,61,688146.SH,239,42.09,2025-09-18 15:18:54
138,2025-09-18,61,688141.SH,80,51.8,2025-09-18 15:18:54
139,2025-09-18,61,688136.SH,67,41.18,2025-09-18 15:18:54
140,2025-09-18,61,688135.SH,0,35.45,2025-09-18 15:18:54
141,2025-09-18,61,688131.SH,150,75.64,2025-09-18 15:18:54
142,2025-09-18,61,688128.SH,133,30.48,2025-09-18 15:18:54
143,2025-09-18,61,688127.SH,357,31.62,2025-09-18 15:18:54
144,2025-09-18,61,688123.SH,135,91.0,2025-09-18 15:18:54
145,2025-09-18,61,688117.SH,148,38.92,2025-09-18 15:18:54
146,2025-09-18,61,688115.SH,118,60.54,2025-09-18 15:18:54
147,2025-09-18,61,688112.SH,87,38.44,2025-09-18 15:18:54
148,2025-09-18,61,688107.SH,336,29.96,2025-09-18 15:18:54
149,2025-09-18,61,688100.SH,161,36.3,2025-09-18 15:18:54
150,2025-09-18,61,688098.SH,1155,11.17,2025-09-18 15:18:54
151,2025-09-18,61,688097.SH,237,37.16,2025-09-18 15:18:54
152,2025-09-18,61,688091.SH,249,57.87,2025-09-18 15:18:54
153,2025-09-18,61,688089.SH,182,26.07,2025-09-18 15:18:54
154,2025-09-18,61,688085.SH,332,20.02,2025-09-18 15:18:54
155,2025-09-18,61,688083.SH,181,70.37,2025-09-18 15:18:54
156,2025-09-18,61,688081.SH,46,32.16,2025-09-18 15:18:54
157,2025-09-18,61,688079.SH,59,12.3,2025-09-18 15:18:54
158,2025-09-18,61,688071.SH,197,43.85,2025-09-18 15:18:54
159,2025-09-18,61,688063.SH,94,58.46,2025-09-18 15:18:54
160,2025-09-18,61,688062.SH,0,54.75,2025-09-18 15:18:54
161,2025-09-18,61,688052.SH,108,186.99,2025-09-18 15:18:54
162,2025-09-18,61,688050.SH,141,75.6,2025-09-18 15:18:54
163,2025-09-18,61,688048.SH,81,75.76,2025-09-18 15:18:54
164,2025-09-18,61,688046.SH,1668,18.71,2025-09-18 15:18:54
165,2025-09-18,61,688041.SH,22,243.81,2025-09-18 15:18:54
166,2025-09-18,61,688033.SH,110,6.4,2025-09-18 15:18:54
