,fund_id,trade_dt,trade_time,s_info_windcode,direction,price,qty
0,61,2025-08-28 00:00:00,1900-01-01 14:56:57,002314.SZ,B,2.830,2000
1,59,2025-08-28 00:00:00,1900-01-01 14:56:57,601003.SH,B,5.780,1000
2,59,2025-08-28 00:00:00,1900-01-01 14:56:57,002314.SZ,B,2.830,1200
3,61,2025-08-28 00:00:00,1900-01-01 14:56:57,600863.SH,B,4.030,1500
4,51,2025-08-28 00:00:00,1900-01-01 14:57:00,601212.SH,B,3.480,200
5,61,2025-08-28 00:00:00,1900-01-01 14:56:54,000708.SZ,B,13.070,500
6,61,2025-08-28 00:00:00,1900-01-01 14:56:53,600743.SH,S,2.140,2500
7,61,2025-08-28 00:00:00,1900-01-01 14:56:53,600226.SH,S,3.340,3100
8,61,2025-08-28 00:00:00,1900-01-01 14:56:53,601956.SH,S,6.840,100
9,61,2025-08-28 00:00:00,1900-01-01 14:56:53,002622.SZ,S,3.690,1600
10,61,2025-08-28 00:00:00,1900-01-01 14:56:53,300942.SZ,S,12.450,100
11,61,2025-08-28 00:00:00,1900-01-01 14:56:53,000533.SZ,S,7.470,300
12,61,2025-08-28 00:00:00,1900-01-01 14:56:53,601956.SH,S,6.840,500
13,61,2025-08-28 00:00:00,1900-01-01 14:56:53,002622.SZ,S,3.690,2300
14,61,2025-08-28 00:00:00,1900-01-01 14:56:53,300027.SZ,S,2.800,3500
15,61,2025-08-28 00:00:00,1900-01-01 14:56:53,000533.SZ,S,7.470,100
16,59,2025-08-28 00:00:00,1900-01-01 14:56:53,600226.SH,S,3.340,1100
17,59,2025-08-28 00:00:00,1900-01-01 14:56:53,002622.SZ,S,3.690,200
18,59,2025-08-28 00:00:00,1900-01-01 14:56:53,300027.SZ,S,2.800,1300
19,59,2025-08-28 00:00:00,1900-01-01 14:56:53,601956.SH,S,6.840,200
20,59,2025-08-28 00:00:00,1900-01-01 14:56:53,600743.SH,S,2.140,900
21,59,2025-08-28 00:00:00,1900-01-01 14:56:53,000533.SZ,S,7.470,100
22,52,2025-08-28 00:00:00,1900-01-01 14:56:49,600219.SH,B,4.210,3600
23,59,2025-08-28 00:00:00,1900-01-01 14:56:47,600732.SH,B,15.050,120
24,59,2025-08-28 00:00:00,1900-01-01 14:56:47,600732.SH,B,15.050,1000
25,59,2025-08-28 00:00:00,1900-01-01 14:56:47,688150.SH,B,26.700,712
26,59,2025-08-28 00:00:00,1900-01-01 14:56:47,600732.SH,B,15.050,80
27,59,2025-08-28 00:00:00,1900-01-01 14:56:46,000528.SZ,B,11.080,400
28,61,2025-08-28 00:00:00,1900-01-01 14:56:47,600100.SH,S,8.280,100
29,61,2025-08-28 00:00:00,1900-01-01 14:56:46,600507.SH,B,5.500,1700
30,61,2025-08-28 00:00:00,1900-01-01 14:56:46,600507.SH,B,5.490,300
31,52,2025-08-28 00:00:00,1900-01-01 14:56:47,600782.SH,B,3.930,3600
32,52,2025-08-28 00:00:00,1900-01-01 14:56:47,300602.SZ,B,33.000,200
33,52,2025-08-28 00:00:00,1900-01-01 14:56:47,600901.SH,B,5.660,1600
34,52,2025-08-28 00:00:00,1900-01-01 14:56:47,000959.SZ,B,4.100,4100
35,59,2025-08-28 00:00:00,1900-01-01 14:56:46,000519.SZ,B,20.940,200
36,59,2025-08-28 00:00:00,1900-01-01 14:56:46,688586.SH,B,12.260,709
37,52,2025-08-28 00:00:00,1900-01-01 14:56:46,600117.SH,S,3.420,500
38,51,2025-08-28 00:00:00,1900-01-01 14:56:49,600805.SH,S,5.600,1800
39,61,2025-08-28 00:00:00,1900-01-01 14:56:45,600487.SH,B,20.510,700
40,52,2025-08-28 00:00:00,1900-01-01 14:56:45,000100.SZ,B,4.700,2100
41,52,2025-08-28 00:00:00,1900-01-01 14:56:45,000728.SZ,B,9.290,900
42,61,2025-08-28 00:00:00,1900-01-01 14:56:43,002973.SZ,S,13.570,100
43,61,2025-08-28 00:00:00,1900-01-01 14:56:43,002973.SZ,S,13.570,200
44,61,2025-08-28 00:00:00,1900-01-01 14:56:42,000932.SZ,B,5.670,4100
45,61,2025-08-28 00:00:00,1900-01-01 14:56:43,300755.SZ,S,17.900,300
46,61,2025-08-28 00:00:00,1900-01-01 14:56:42,002695.SZ,B,12.570,900
47,61,2025-08-28 00:00:00,1900-01-01 14:56:43,600582.SH,B,6.150,2600
48,61,2025-08-28 00:00:00,1900-01-01 14:56:42,600095.SH,S,12.980,500
