,fund_id,trade_dt,trade_time,s_info_windcode,direction,price,qty
0,52,2025-09-18,2025-09-18 14:56:46,601107.SH,S,5.560,100
1,52,2025-09-18,2025-09-18 14:55:37,003816.SZ,S,3.680,100
2,58,2025-09-18,2025-09-18 14:56:35,600489.SH,B,18.120,1800
3,58,2025-09-18,2025-09-18 14:56:35,603725.SH,S,10.490,200
4,58,2025-09-18,2025-09-18 14:56:34,603725.SH,S,10.490,400
5,52,2025-09-18,2025-09-18 14:56:32,603725.SH,S,10.490,100
6,61,2025-09-18,2025-09-18 14:56:20,300736.SZ,S,14.210,400
7,61,2025-09-18,2025-09-18 14:56:17,300736.SZ,S,14.220,400
8,59,2025-09-18,2025-09-18 14:56:17,300736.SZ,S,14.220,400
9,52,2025-09-18,2025-09-18 14:56:15,600866.SH,S,7.450,200
10,52,2025-09-18,2025-09-18 14:56:14,002355.SZ,S,6.120,100
11,52,2025-09-18,2025-09-18 14:56:14,002574.SZ,S,5.730,100
12,52,2025-09-18,2025-09-18 14:56:12,000065.SZ,S,11.050,100
13,52,2025-09-18,2025-09-18 14:56:07,601225.SH,S,20.170,100
14,52,2025-09-18,2025-09-18 14:56:01,600941.SH,S,104.930,100
15,52,2025-09-18,2025-09-18 14:56:05,000927.SZ,S,2.790,100
16,52,2025-09-18,2025-09-18 14:55:33,000401.SZ,S,4.920,100
17,59,2025-09-18,2025-09-18 14:56:03,001311.SZ,B,25.390,400
18,52,2025-09-18,2025-09-18 14:56:03,600226.SH,S,4.120,100
19,52,2025-09-18,2025-09-18 14:53:03,600219.SH,S,3.880,100
20,52,2025-09-18,2025-09-18 14:56:01,300009.SZ,S,10.700,100
21,52,2025-09-18,2025-09-18 14:55:59,600020.SH,S,4.310,100
22,52,2025-09-18,2025-09-18 14:54:35,600052.SH,S,5.330,300
23,61,2025-09-18,2025-09-18 14:55:56,002364.SZ,B,29.690,300
24,52,2025-09-18,2025-09-18 14:55:55,000008.SZ,S,2.940,100
25,58,2025-09-18,2025-09-18 14:55:52,603871.SH,S,12.910,500
26,61,2025-09-18,2025-09-18 14:55:42,603328.SH,S,12.270,200
27,61,2025-09-18,2025-09-18 14:55:42,603328.SH,S,12.270,300
28,61,2025-09-18,2025-09-18 14:55:42,603328.SH,S,12.270,100
29,52,2025-09-18,2025-09-18 14:54:07,600880.SH,S,5.010,100
30,52,2025-09-18,2025-09-18 14:55:41,600031.SH,S,20.820,100
31,52,2025-09-18,2025-09-18 14:55:35,601169.SH,S,5.630,100
32,52,2025-09-18,2025-09-18 14:55:34,603103.SH,S,17.340,100
33,52,2025-09-18,2025-09-18 14:55:31,603506.SH,S,14.280,100
34,52,2025-09-18,2025-09-18 14:55:29,600995.SH,S,11.460,100
35,52,2025-09-18,2025-09-18 14:55:25,603766.SH,S,12.650,100
36,61,2025-09-18,2025-09-18 14:55:19,002548.SZ,S,5.010,1500
37,59,2025-09-18,2025-09-18 14:55:19,002548.SZ,S,5.010,600
38,58,2025-09-18,2025-09-18 14:55:14,600489.SH,B,18.120,1800
39,58,2025-09-18,2025-09-18 14:55:05,001311.SZ,B,25.480,600
40,52,2025-09-18,2025-09-18 14:50:10,600433.SH,S,3.400,200
41,52,2025-09-18,2025-09-18 14:54:46,600011.SH,S,7.390,200
42,58,2025-09-18,2025-09-18 14:54:50,301125.SZ,S,22.270,200
43,52,2025-09-18,2025-09-18 14:54:49,301125.SZ,S,22.270,200
44,52,2025-09-18,2025-09-18 14:54:43,600732.SH,S,15.670,100
45,52,2025-09-18,2025-09-18 14:54:45,600986.SH,S,8.490,100
46,58,2025-09-18,2025-09-18 14:54:46,301016.SZ,S,23.080,100
47,52,2025-09-18,2025-09-18 14:54:42,002389.SZ,S,21.110,100
48,58,2025-09-18,2025-09-18 14:54:43,301016.SZ,S,23.080,200
49,52,2025-09-18,2025-09-18 14:54:42,600406.SH,S,22.290,100
50,52,2025-09-18,2025-09-18 14:54:04,000717.SZ,S,2.910,100
51,52,2025-09-18,2025-09-18 14:54:38,301078.SZ,S,11.460,100
52,61,2025-09-18,2025-09-18 14:54:37,300084.SZ,S,8.790,800
53,52,2025-09-18,2025-09-18 14:54:36,300515.SZ,S,20.860,100
54,52,2025-09-18,2025-09-18 14:54:31,600415.SH,S,19.170,100
55,58,2025-09-18,2025-09-18 14:54:29,600728.SH,S,6.990,800
56,52,2025-09-18,2025-09-18 14:54:26,600104.SH,S,18.800,100
57,52,2025-09-18,2025-09-18 14:53:56,603086.SH,S,9.040,100
58,52,2025-09-18,2025-09-18 14:54:20,000933.SZ,S,18.800,100
59,59,2025-09-18,2025-09-18 14:54:19,300084.SZ,S,8.790,300
60,52,2025-09-18,2025-09-18 14:54:19,300682.SZ,S,21.070,100
61,59,2025-09-18,2025-09-18 14:54:17,603039.SH,S,56.590,100
62,52,2025-09-18,2025-09-18 14:54:11,603811.SH,S,13.610,100
63,58,2025-09-18,2025-09-18 14:54:16,603039.SH,S,56.580,100
64,59,2025-09-18,2025-09-18 14:54:16,603328.SH,S,12.270,800
65,52,2025-09-18,2025-09-18 14:54:10,300251.SZ,S,18.650,100
66,52,2025-09-18,2025-09-18 14:54:10,002129.SZ,S,8.160,100
67,52,2025-09-18,2025-09-18 14:54:09,002027.SZ,S,8.080,100
68,52,2025-09-18,2025-09-18 14:54:08,601668.SH,S,5.520,300
69,52,2025-09-18,2025-09-18 14:53:40,002772.SZ,S,10.050,200
70,58,2025-09-18,2025-09-18 14:54:04,002735.SZ,S,15.720,100
71,52,2025-09-18,2025-09-18 14:53:55,002609.SZ,S,9.850,100
72,52,2025-09-18,2025-09-18 14:53:29,605319.SH,S,35.470,100
73,52,2025-09-18,2025-09-18 14:53:45,600846.SH,S,13.270,100
74,52,2025-09-18,2025-09-18 14:52:49,300736.SZ,S,14.270,100
75,52,2025-09-18,2025-09-18 14:50:38,600795.SH,S,5.070,200
76,52,2025-09-18,2025-09-18 14:52:49,300736.SZ,S,14.270,100
77,58,2025-09-18,2025-09-18 14:53:26,002667.SZ,S,11.690,100
78,61,2025-09-18,2025-09-18 14:53:16,300352.SZ,B,6.250,700
79,61,2025-09-18,2025-09-18 14:53:14,001311.SZ,B,25.500,1400
80,52,2025-09-18,2025-09-18 14:53:08,000586.SZ,S,12.990,100
81,59,2025-09-18,2025-09-18 14:53:09,001311.SZ,B,25.520,600
82,52,2025-09-18,2025-09-18 14:53:00,600985.SH,S,12.130,100
