,trade_id,fund_id,dealDate,dealTime,symbol,side,price,qty,s_info_windcode,direction,trade_dt,trade_time
3267,0105000051194242,44,20250821,130228526,000878,1,13.780,100,000878.SH,B,2025-08-21,13:02:28.526000
3268,0101000051403195,62,20250821,130226790,002293,2,8.750,400,002293.SH,S,2025-08-21,13:02:26.790000
3269,0101000051403193,62,20250821,130226790,002293,2,8.750,300,002293.SH,S,2025-08-21,13:02:26.790000
3270,1021779282074475900,57,20250821,130227136,002293,2,8.750,100,002293.SH,S,2025-08-21,13:02:27.136000
3271,1021779282074475800,57,20250821,130227136,002293,2,8.750,100,002293.SH,S,2025-08-21,13:02:27.136000
3272,0103000052858694,58,20250821,130222636,002368,2,29.510,200,002368.SH,S,2025-08-21,13:02:22.636000
3273,0102000049871926,44,20250821,130219703,002479,2,5.530,100,002479.SH,S,2025-08-21,13:02:19.703000
3274,0103000052827338,44,20250821,130215904,002158,1,23.860,300,002158.SH,B,2025-08-21,13:02:15.904000
3275,0101000051349164,44,20250821,130213074,300401,1,15.500,400,300401.SH,B,2025-08-21,13:02:13.074000
3276,0000000040328595,62,20250821,130208790,601898,1,12.160,400,601898.SZ,B,2025-08-21,13:02:08.790000
3277,0000000040328594,60,20250821,130208790,601898,1,12.160,400,601898.SZ,B,2025-08-21,13:02:08.790000
3278,0000000040319216,60,20250821,130205888,603444,2,444.310,100,603444.SZ,S,2025-08-21,13:02:05.888000
3279,0000000040325020,44,20250821,130207700,600389,1,24.140,100,600389.SZ,B,2025-08-21,13:02:07.700000
3280,0104000049242115,61,20250821,130201000,300098,1,5.830,1000,300098.SH,B,2025-08-21,13:02:01
3281,0104000049241128,61,20250821,130200800,300098,1,5.830,600,300098.SH,B,2025-08-21,13:02:00.800000
3282,0000000040302166,44,20250821,130201002,688185,1,85.830,200,688185.SZ,B,2025-08-21,13:02:01.002000
3283,,52,20250821,130121000,601998,2,8.090,100,601998.SZ,S,2025-08-21,13:01:21
3284,0104000049231191,60,20250821,130159290,000630,1,4.150,1800,000630.SH,B,2025-08-21,13:01:59.290000
3285,0104000049231193,62,20250821,130159290,000630,1,4.150,1800,000630.SH,B,2025-08-21,13:01:59.290000
3286,0104000049231489,44,20250821,130159302,000630,1,4.150,900,000630.SH,B,2025-08-21,13:01:59.302000
3287,1021779282074389100,57,20250821,130159290,000630,1,4.150,100,000630.SH,B,2025-08-21,13:01:59.290000
3288,0000000040292957,60,20250821,130158673,601919,1,15.680,100,601919.SZ,B,2025-08-21,13:01:58.673000
3289,0104000049222701,61,20250821,130157050,300098,1,5.830,200,300098.SH,B,2025-08-21,13:01:57.050000
3290,0104000049222258,61,20250821,130156860,300098,1,5.830,1100,300098.SH,B,2025-08-21,13:01:56.860000
3291,0000000040287408,44,20250821,130156753,600335,2,6.660,300,600335.SZ,S,2025-08-21,13:01:56.753000
