,fund_id,trade_dt,trade_time,s_info_windcode,direction,price,qty
0,61,2025-09-19,2025-09-19 14:56:57,603300.SH,B,10.000,300
1,60,2025-09-19,2025-09-19 14:56:29,600755.SH,S,6.100,400
2,61,2025-09-19,2025-09-19 14:56:25,300773.SZ,B,25.200,900
3,61,2025-09-19,2025-09-19 14:56:23,600689.SH,S,14.300,1000
4,61,2025-09-19,2025-09-19 14:56:22,002389.SZ,S,21.480,200
5,61,2025-09-19,2025-09-19 14:56:21,002642.SZ,S,9.820,400
6,58,2025-09-19,2025-09-19 14:56:21,600249.SH,S,6.170,2100
7,59,2025-09-19,2025-09-19 14:56:21,603506.SH,S,14.210,100
8,61,2025-09-19,2025-09-19 14:56:19,603278.SH,S,11.160,400
9,52,2025-09-19,2025-09-19 14:56:19,300468.SZ,B,39.730,100
10,58,2025-09-19,2025-09-19 14:56:19,300409.SZ,B,24.960,600
11,58,2025-09-19,2025-09-19 14:56:19,300409.SZ,B,24.960,1000
12,52,2025-09-19,2025-09-19 14:56:17,603717.SH,S,9.000,600
13,58,2025-09-19,2025-09-19 14:56:18,603950.SH,S,35.510,100
14,58,2025-09-19,2025-09-19 14:56:17,603717.SH,S,9.000,2300
15,52,2025-09-19,2025-09-19 14:56:16,600797.SH,B,10.550,400
16,60,2025-09-19,2025-09-19 14:56:15,000700.SZ,B,11.480,300
17,61,2025-09-19,2025-09-19 14:56:15,600063.SH,B,5.790,300
18,59,2025-09-19,2025-09-19 14:56:16,300773.SZ,B,25.190,300
19,58,2025-09-19,2025-09-19 14:56:15,000753.SZ,S,7.380,500
20,52,2025-09-19,2025-09-19 14:56:15,000753.SZ,S,7.380,100
21,52,2025-09-19,2025-09-19 14:56:15,002100.SZ,S,7.670,800
22,61,2025-09-19,2025-09-19 14:56:13,300224.SZ,B,16.490,1017
23,61,2025-09-19,2025-09-19 14:56:13,300224.SZ,B,16.490,83
24,59,2025-09-19,2025-09-19 14:56:13,600689.SH,S,14.300,500
25,52,2025-09-19,2025-09-19 14:56:09,300409.SZ,B,24.950,400
26,61,2025-09-19,2025-09-19 14:56:11,300435.SZ,S,20.090,100
27,61,2025-09-19,2025-09-19 14:56:11,300435.SZ,S,20.090,100
28,58,2025-09-19,2025-09-19 14:56:10,300773.SZ,B,25.200,800
29,58,2025-09-19,2025-09-19 14:56:10,600366.SH,B,14.370,300
30,52,2025-09-19,2025-09-19 14:56:09,600689.SH,S,14.300,300
31,58,2025-09-19,2025-09-19 14:56:09,600151.SH,S,8.260,700
32,59,2025-09-19,2025-09-19 14:56:07,300409.SZ,B,24.960,800
33,58,2025-09-19,2025-09-19 14:56:08,600446.SH,B,18.610,200
34,59,2025-09-19,2025-09-19 14:56:06,600397.SH,S,7.270,500
35,58,2025-09-19,2025-09-19 14:56:07,600689.SH,S,14.290,800
36,58,2025-09-19,2025-09-19 14:56:07,600689.SH,S,14.290,600
37,52,2025-09-19,2025-09-19 14:56:07,300773.SZ,B,25.200,100
38,62,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,900
39,62,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,600
40,62,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,700
41,62,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,200
42,62,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,200
43,62,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,400
44,62,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,300
45,62,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,400
46,61,2025-09-19,2025-09-19 14:56:07,601208.SH,S,21.110,100
47,61,2025-09-19,2025-09-19 14:56:06,600397.SH,S,7.270,400
48,60,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,300
49,61,2025-09-19,2025-09-19 14:56:06,600397.SH,S,7.270,900
50,60,2025-09-19,2025-09-19 14:56:06,600025.SH,B,9.200,100
51,58,2025-09-19,2025-09-19 14:56:06,603993.SH,S,12.510,500
52,61,2025-09-19,2025-09-19 14:56:04,300409.SZ,B,24.970,600
53,61,2025-09-19,2025-09-19 14:56:04,300409.SZ,B,24.970,200
54,61,2025-09-19,2025-09-19 14:56:04,300409.SZ,B,24.970,800
55,61,2025-09-19,2025-09-19 14:56:04,300409.SZ,B,24.970,500
56,61,2025-09-19,2025-09-19 14:56:04,300409.SZ,B,24.970,700
57,52,2025-09-19,2025-09-19 14:56:05,603698.SH,S,19.350,100
58,60,2025-09-19,2025-09-19 14:56:03,000893.SZ,B,36.620,100
59,61,2025-09-19,2025-09-19 14:56:04,603285.SH,S,26.550,100
60,62,2025-09-19,2025-09-19 14:56:04,600522.SH,B,16.710,300
61,60,2025-09-19,2025-09-19 14:56:03,000893.SZ,B,36.620,100
62,61,2025-09-19,2025-09-19 14:56:04,603506.SH,S,14.210,200
63,59,2025-09-19,2025-09-19 14:56:04,603285.SH,S,26.550,100
64,59,2025-09-19,2025-09-19 14:56:03,300747.SZ,S,27.320,100
65,52,2025-09-19,2025-09-19 14:56:03,600521.SH,S,22.930,100
66,58,2025-09-19,2025-09-19 14:56:02,603278.SH,S,11.170,200
67,58,2025-09-19,2025-09-19 14:56:02,603278.SH,S,11.170,100
68,58,2025-09-19,2025-09-19 14:56:02,603278.SH,S,11.170,200
69,58,2025-09-19,2025-09-19 14:56:02,002248.SZ,B,10.600,900
70,61,2025-09-19,2025-09-19 14:56:01,300173.SZ,B,6.100,300
71,61,2025-09-19,2025-09-19 14:56:01,300836.SZ,S,47.130,100
72,61,2025-09-19,2025-09-19 14:56:01,002664.SZ,S,30.560,100
73,60,2025-09-19,2025-09-19 14:56:01,600489.SH,B,18.280,200
74,62,2025-09-19,2025-09-19 14:56:01,002555.SZ,B,23.570,300
75,62,2025-09-19,2025-09-19 14:56:00,002632.SZ,S,10.640,4300
76,60,2025-09-19,2025-09-19 14:56:00,002632.SZ,S,10.640,2000
77,59,2025-09-19,2025-09-19 14:56:00,301076.SZ,B,56.020,100
78,52,2025-09-19,2025-09-19 14:56:00,603950.SH,S,35.500,100
79,44,2025-09-19,2025-09-19 14:56:00,688403.SH,S,15.140,100
80,44,2025-09-19,2025-09-19 14:56:00,688403.SH,S,15.140,200
81,44,2025-09-19,2025-09-19 14:56:00,300428.SZ,B,23.460,200
82,44,2025-09-19,2025-09-19 14:56:00,605305.SH,S,40.010,200
83,44,2025-09-19,2025-09-19 14:56:00,300521.SZ,B,31.700,100
84,44,2025-09-19,2025-09-19 14:56:00,002158.SZ,S,28.350,300
85,58,2025-09-19,2025-09-19 14:56:00,600797.SH,B,10.540,1700
86,44,2025-09-19,2025-09-19 14:56:00,002632.SZ,S,10.640,400
87,58,2025-09-19,2025-09-19 14:56:00,000603.SZ,S,20.280,200
88,61,2025-09-19,2025-09-19 14:56:00,002072.SZ,B,7.780,300
89,59,2025-09-19,2025-09-19 14:56:00,600513.SH,B,20.030,100
90,52,2025-09-19,2025-09-19 14:55:58,600151.SH,S,8.270,100
