,fund_id,trade_dt,trade_time,s_info_windcode,direction,price,qty
0,61,2025-08-25 00:00:00,1900-01-01 14:56:33,002241.SH,B,30.900,1600
1,61,2025-08-25 00:00:00,1900-01-01 14:56:24,301151.SH,S,24.060,200
2,61,2025-08-25 00:00:00,1900-01-01 14:56:25,000962.SH,S,21.040,200
3,61,2025-08-25 00:00:00,1900-01-01 14:56:24,301151.SH,S,24.060,100
4,58,2025-08-25 00:00:00,1900-01-01 14:56:21,301151.SH,S,24.050,200
5,61,2025-08-25 00:00:00,1900-01-01 14:56:21,603909.SZ,S,11.000,400
6,58,2025-08-25 00:00:00,1900-01-01 14:56:20,300426.SH,S,10.910,400
7,58,2025-08-25 00:00:00,1900-01-01 14:56:20,300426.SH,S,10.910,100
8,58,2025-08-25 00:00:00,1900-01-01 14:56:21,300536.SH,S,10.810,600
9,58,2025-08-25 00:00:00,1900-01-01 14:56:20,002215.SH,S,12.840,900
10,61,2025-08-25 00:00:00,1900-01-01 14:56:20,002576.SH,S,19.030,300
11,61,2025-08-25 00:00:00,1900-01-01 14:56:19,600595.SZ,S,5.580,200
12,58,2025-08-25 00:00:00,1900-01-01 14:56:19,002576.SH,S,19.030,300
13,58,2025-08-25 00:00:00,1900-01-01 14:56:18,300810.SH,S,55.070,200
14,58,2025-08-25 00:00:00,1900-01-01 14:56:16,002215.SH,S,12.840,700
15,58,2025-08-25 00:00:00,1900-01-01 14:56:16,300810.SH,S,55.070,100
16,58,2025-08-25 00:00:00,1900-01-01 14:56:16,002225.SH,B,6.900,600
17,58,2025-08-25 00:00:00,1900-01-01 14:56:16,002215.SH,S,12.840,200
18,59,2025-08-25 00:00:00,1900-01-01 14:56:16,300083.SH,B,10.510,500
19,61,2025-08-25 00:00:00,1900-01-01 14:56:16,300083.SH,B,10.510,200
20,61,2025-08-25 00:00:00,1900-01-01 14:56:16,300083.SH,B,10.510,1000
21,61,2025-08-25 00:00:00,1900-01-01 14:56:16,300083.SH,B,10.510,700
22,58,2025-08-25 00:00:00,1900-01-01 14:56:16,301151.SH,S,24.060,100
23,58,2025-08-25 00:00:00,1900-01-01 14:56:15,600463.SZ,S,12.150,200
24,58,2025-08-25 00:00:00,1900-01-01 14:56:16,301151.SH,S,24.060,200
25,58,2025-08-25 00:00:00,1900-01-01 14:56:16,300810.SH,S,55.070,100
26,58,2025-08-25 00:00:00,1900-01-01 14:56:15,603042.SZ,S,17.360,100
27,58,2025-08-25 00:00:00,1900-01-01 14:56:16,300810.SH,S,55.070,200
28,58,2025-08-25 00:00:00,1900-01-01 14:56:15,605337.SZ,S,13.790,260
29,58,2025-08-25 00:00:00,1900-01-01 14:56:15,603042.SZ,S,17.360,100
30,58,2025-08-25 00:00:00,1900-01-01 14:56:15,605337.SZ,S,13.790,140
31,58,2025-08-25 00:00:00,1900-01-01 14:56:15,300426.SH,S,10.900,600
32,61,2025-08-25 00:00:00,1900-01-01 14:56:15,601777.SZ,B,10.630,800
33,61,2025-08-25 00:00:00,1900-01-01 14:56:16,603579.SZ,S,37.450,100
34,61,2025-08-25 00:00:00,1900-01-01 14:56:16,002792.SH,S,18.820,1000
35,58,2025-08-25 00:00:00,1900-01-01 14:56:15,300588.SH,B,21.220,100
36,59,2025-08-25 00:00:00,1900-01-01 14:56:14,605337.SZ,S,13.790,100
37,59,2025-08-25 00:00:00,1900-01-01 14:56:14,600463.SZ,S,12.150,100
38,59,2025-08-25 00:00:00,1900-01-01 14:56:14,000962.SH,S,21.040,200
39,61,2025-08-25 00:00:00,1900-01-01 14:56:14,002576.SH,S,19.030,200
40,61,2025-08-25 00:00:00,1900-01-01 14:56:14,600463.SZ,S,12.150,200
41,61,2025-08-25 00:00:00,1900-01-01 14:56:14,600990.SZ,S,32.560,200
42,61,2025-08-25 00:00:00,1900-01-01 14:56:14,002576.SH,S,19.030,100
43,61,2025-08-25 00:00:00,1900-01-01 14:56:14,605337.SZ,S,13.790,200
44,61,2025-08-25 00:00:00,1900-01-01 14:56:14,000962.SH,S,21.040,300
45,52,2025-08-25 00:00:00,1900-01-01 14:56:14,300426.SH,S,10.900,500
46,52,2025-08-25 00:00:00,1900-01-01 14:56:13,300810.SH,S,55.070,100
47,58,2025-08-25 00:00:00,1900-01-01 14:56:12,002370.SH,S,6.760,200
48,59,2025-08-25 00:00:00,1900-01-01 14:56:10,603042.SZ,S,17.360,100
49,61,2025-08-25 00:00:00,1900-01-01 14:56:11,300588.SH,B,21.230,200
50,61,2025-08-25 00:00:00,1900-01-01 14:56:10,603042.SZ,S,17.360,200
51,58,2025-08-25 00:00:00,1900-01-01 14:56:11,300588.SH,B,21.220,100
52,58,2025-08-25 00:00:00,1900-01-01 14:56:01,002792.SH,S,18.820,200
53,58,2025-08-25 00:00:00,1900-01-01 14:56:00,000962.SH,S,21.050,500
54,52,2025-08-25 00:00:00,1900-01-01 14:55:59,601137.SZ,S,26.940,200
55,52,2025-08-25 00:00:00,1900-01-01 14:55:59,000962.SH,S,21.050,300
56,61,2025-08-25 00:00:00,1900-01-01 14:55:52,002364.SH,B,23.430,200
57,61,2025-08-25 00:00:00,1900-01-01 14:55:42,300083.SH,B,10.500,1000
58,61,2025-08-25 00:00:00,1900-01-01 14:55:36,600475.SZ,S,23.910,1300
59,61,2025-08-25 00:00:00,1900-01-01 14:55:35,600475.SZ,S,23.910,100
60,52,2025-08-25 00:00:00,1900-01-01 14:55:32,002792.SH,S,18.810,300
61,58,2025-08-25 00:00:00,1900-01-01 14:55:32,002792.SH,S,18.810,900
62,61,2025-08-25 00:00:00,1900-01-01 14:55:17,601777.SZ,B,10.640,300
63,59,2025-08-25 00:00:00,1900-01-01 14:55:04,002209.SH,B,17.280,300
64,58,2025-08-25 00:00:00,1900-01-01 14:54:59,300323.SH,B,9.770,200
65,59,2025-08-25 00:00:00,1900-01-01 14:54:56,601777.SZ,B,10.640,200
66,59,2025-08-25 00:00:00,1900-01-01 14:54:56,601777.SZ,B,10.640,100
67,61,2025-08-25 00:00:00,1900-01-01 14:54:46,300083.SH,B,10.510,500
68,61,2025-08-25 00:00:00,1900-01-01 14:54:46,300083.SH,B,10.510,200
69,61,2025-08-25 00:00:00,1900-01-01 14:54:43,300083.SH,B,10.510,300
70,61,2025-08-25 00:00:00,1900-01-01 14:54:41,300426.SH,S,10.910,300
71,59,2025-08-25 00:00:00,1900-01-01 14:54:37,300426.SH,S,10.910,400
72,61,2025-08-25 00:00:00,1900-01-01 14:54:37,300426.SH,S,10.910,800
73,61,2025-08-25 00:00:00,1900-01-01 14:54:34,002453.SH,S,6.370,900
74,59,2025-08-25 00:00:00,1900-01-01 14:54:34,002453.SH,S,6.370,400
75,58,2025-08-25 00:00:00,1900-01-01 14:54:26,600475.SZ,S,23.910,421
76,58,2025-08-25 00:00:00,1900-01-01 14:54:26,600475.SZ,S,23.910,179
77,61,2025-08-25 00:00:00,1900-01-01 14:54:25,300747.SH,B,31.670,100
78,61,2025-08-25 00:00:00,1900-01-01 14:53:52,300687.SH,B,31.320,100
