,代码,最新价
0,301563,116.8
1,001285,63.39
2,300948,16.13
3,301308,178.03
4,688039,61.32
5,300893,39.9
6,300786,19.86
7,300464,7.74
8,300593,22.44
9,688063,74.24
10,300432,22.22
11,688109,100.6
12,688347,114.56
13,688691,101.88
14,300959,96.82
15,688175,25.57
16,301171,34.52
17,835305,11.91
18,300769,46.31
19,688390,64.69
20,300811,84.32
21,688233,50.77
22,301358,60.42
23,688416,54.71
24,300814,53.41
25,300128,6.57
26,688123,162.47
27,688766,112.28
28,301379,31.59
29,688225,21.9
30,002390,3.8
31,000981,4.24
32,600676,6.35
33,000006,10.29
34,002513,10.4
35,603421,8.0
36,603011,19.65
37,603496,35.48
38,600711,10.32
39,002985,29.21
40,000923,17.91
41,603103,18.36
42,600629,28.69
43,605178,35.83
44,603189,23.3
45,002298,13.19
46,600362,35.49
47,603306,56.06
48,600760,71.83
49,002645,16.06
50,603026,51.8
51,002082,11.99
52,600641,22.0
53,605376,65.44
54,001301,83.71
55,600562,34.42
56,003002,25.41
57,601618,3.85
58,001309,204.69
59,603810,17.28
60,688478,42.17
61,002295,14.75
62,002670,24.34
63,002691,8.81
64,600301,33.84
65,002045,18.29
66,000672,11.02
67,000021,27.87
68,002759,19.72
69,002150,20.82
70,000960,23.14
71,688552,43.1
72,002629,7.96
73,002631,5.31
74,600960,5.1
75,002638,2.78
76,301518,37.65
77,688545,41.27
78,300260,45.66
79,603799,65.9
80,688525,104.3
81,300010,8.28
82,600601,11.36
83,688281,75.33
84,603878,10.17
85,688018,216.86
86,688033,7.19
87,300014,91.0
88,688787,129.01
89,002875,18.93
90,688373,9.11
91,301590,233.32
92,603320,20.57
93,300475,91.26
94,688591,60.84
95,300813,36.52
96,603986,213.3
97,000980,3.57
98,688215,82.48
99,688605,74.22
100,002320,10.2
101,301383,39.2
102,301421,129.95
103,600584,44.09
104,603790,25.92
105,601127,171.57
106,688008,154.8
107,600226,4.7
108,688029,100.35
109,600021,21.16
110,000878,17.48
111,300366,6.38
112,300418,48.59
113,688698,95.35
114,603659,30.92
115,300790,33.51
116,688122,65.09
117,600895,54.95
118,605117,81.0
119,688608,297.5
120,301349,41.5
121,300223,89.01
122,300933,9.66
123,002996,7.9
124,603301,46.66
125,600468,7.21
126,603665,27.7
127,300844,48.6
128,688449,65.8
129,002389,23.11
130,600316,37.9
131,605389,61.29
132,300925,27.9
133,605090,34.69
134,002365,18.08
135,600531,12.97
136,688343,88.48
137,300642,23.58
138,002756,38.76
139,688020,68.5
140,603618,9.5
141,603077,2.08
142,688615,159.68
143,600630,9.18
144,300836,56.7
145,300624,77.51
146,300658,9.1
147,002626,20.14
148,603993,15.7
149,688372,89.13
150,300037,53.38
151,301209,116.95
152,603259,112.03
153,301122,26.28
154,688332,164.01
155,600748,5.17
156,688131,82.6
157,300125,8.88
158,300582,17.43
159,688331,116.88
160,002246,22.7
161,600391,28.43
162,688353,47.01
163,002571,8.32
164,605289,72.99
165,688220,110.5
166,688213,119.16
167,002192,39.33
168,603823,15.83
169,688038,19.9
170,002241,37.5
171,300935,29.19
172,301148,31.61
173,600006,8.06
174,301382,37.76
175,603118,13.76
176,603316,13.25
177,000751,3.89
178,301110,73.31
179,688385,66.65
180,600383,4.34
181,688786,28.98
182,688707,16.3
183,834599,19.55
184,688551,43.8
185,301070,58.07
186,605589,33.89
187,301306,55.66
188,000737,15.96
189,300093,13.02
190,300454,125.5
191,002407,20.5
192,300229,22.41
193,601126,20.19
194,603690,30.55
195,603922,22.54
196,000029,33.58
197,300537,26.31
198,600626,4.54
199,300133,9.29
200,688095,78.63
