,代码,最新价
0,837174,62.93
1,873152,28.09
2,835237,32.08
3,836422,18.69
4,870726,28.37
5,300410,10.49
6,300997,20.5
7,300478,21.01
8,836826,15.36
9,835892,25.8
10,300827,34.12
11,301108,34.4
12,300518,16.4
13,838262,31.4
14,839371,12.78
15,300919,43.1
16,601099,4.79
17,002426,3.82
18,603817,6.66
19,603101,10.84
20,601086,12.17
21,600865,10.64
22,605188,21.95
23,603222,11.52
24,002403,16.35
25,603630,31.19
26,603839,10.43
27,002759,12.63
28,603178,20.54
29,002882,37.16
30,603696,13.19
31,603536,10.78
32,000524,15.73
33,001206,26.72
34,603257,67.88
35,002150,15.84
36,600376,3.19
37,001296,26.4
38,603709,15.3
39,002878,20.47
40,003040,24.55
41,603285,25.99
42,603595,25.98
43,600697,15.53
44,002251,6.17
45,603863,19.51
46,002067,5.08
47,002269,2.65
48,002530,11.92
49,600778,7.18
50,600207,5.54
51,688006,32.12
52,301259,47.2
53,870508,24.41
54,870656,21.2
55,873833,26.3
56,600828,4.8
57,300892,38.96
58,831726,22.08
59,300530,42.74
60,831627,29.92
61,603099,55.98
62,002121,7.34
63,300967,26.3
64,301038,31.16
65,871857,21.0
66,002459,13.5
67,301053,39.0
68,000564,2.77
69,300388,7.99
70,688356,99.8
71,839719,19.88
72,870204,24.52
73,601116,12.73
74,600593,39.2
75,873679,25.19
76,001328,43.55
77,603231,19.77
78,830779,49.49
79,688303,31.59
80,301376,19.69
81,603090,41.7
82,832786,11.27
83,002547,5.95
84,601089,27.13
85,300438,31.16
86,603237,18.63
87,301335,35.97
88,301528,58.7
89,833284,28.94
90,430425,27.79
91,600732,15.67
92,838670,26.03
93,838275,11.96
94,002971,27.73
95,300173,6.4
96,688656,132.54
97,688201,15.6
98,603608,7.55
99,301456,28.8
100,600721,11.07
101,920108,18.38
102,836871,19.1
103,832419,21.53
104,300753,34.6
105,002820,13.0
106,002709,23.15
107,838030,7.73
108,603100,21.81
109,600628,8.11
110,605388,9.03
111,836414,16.33
112,837023,21.37
113,000759,8.04
114,688411,156.8
115,301075,40.87
116,830809,6.18
117,002266,4.02
118,600333,5.49
119,002945,16.83
120,870976,28.69
121,838163,19.12
122,300898,29.2
123,835184,27.98
124,300673,18.35
125,603058,9.22
126,601010,2.92
127,601865,18.28
128,002167,14.2
129,002365,18.98
130,603179,58.98
131,002173,24.99
132,834058,37.33
133,300473,34.15
134,002973,14.21
135,600173,6.61
136,603333,9.22
137,605136,10.07
138,833075,35.4
139,839273,44.06
140,873132,24.84
141,001288,24.01
142,601288,7.52
143,832471,16.26
144,834407,20.4
145,301498,98.95
146,003006,31.74
147,831396,12.49
148,000908,5.78
149,300382,14.86
150,300945,23.12
151,603777,14.34
152,002084,3.75
153,603843,2.92
154,603363,4.8
155,603806,15.32
156,000882,2.32
157,002263,4.01
158,603226,23.71
159,000796,6.35
160,000558,6.57
161,600785,13.19
162,920056,31.85
163,688196,50.32
164,603136,13.73
165,002115,12.0
166,603798,14.41
167,002187,6.87
168,835508,30.19
169,603165,13.1
170,002094,8.48
171,300692,7.23
172,301518,26.99
173,831855,22.8
174,000810,12.62
175,603687,8.05
176,002407,13.81
177,301565,24.21
178,300014,66.9
179,600438,22.97
180,837748,59.85
181,838971,40.69
182,000610,14.11
183,600152,7.06
184,300816,37.68
