,代码,最新价
0,301668,61.06
1,920015,54.97
2,300080,4.9
3,688148,6.71
4,300904,79.27
5,688109,70.68
6,688325,111.16
7,688249,32.9
8,301369,93.06
9,688251,29.9
10,300490,12.56
11,300316,44.95
12,300692,8.86
13,300774,12.61
14,600169,2.71
15,601218,5.67
16,000826,2.51
17,603335,6.33
18,601619,5.58
19,002208,7.77
20,600810,11.06
21,002140,12.27
22,002659,6.91
23,600403,4.06
24,002725,15.79
25,000889,3.73
26,000020,16.9
27,001209,20.2
28,600629,23.71
29,600769,13.5
30,603163,47.91
31,603156,28.14
32,002190,42.88
33,600416,16.71
34,688335,27.8
35,603239,22.23
36,002295,14.85
37,603090,59.94
38,605028,31.57
39,600370,2.2
40,002346,19.14
41,002765,15.73
42,600748,4.95
43,001226,42.37
44,601615,15.53
45,002759,16.3
46,603216,18.93
47,002513,8.59
48,605155,17.3
49,002803,20.83
50,002772,10.14
51,002291,6.72
52,603937,13.34
53,002510,7.39
54,000559,11.8
55,600303,3.86
56,600691,2.98
57,002394,11.7
58,688171,57.1
59,301216,20.32
60,603225,16.6
61,688358,32.9
62,301013,29.13
63,300767,23.37
64,300209,7.0
65,300157,5.0
66,603218,14.4
67,300303,7.22
68,688239,44.75
69,300569,6.68
70,835174,67.68
71,688123,142.07
72,838402,12.27
73,688469,6.43
74,603313,8.75
75,300464,6.08
76,600201,9.34
77,688503,80.18
78,603061,129.45
79,300201,5.49
80,301043,46.78
81,000703,6.83
82,600388,14.35
83,000581,23.56
84,603608,7.64
85,001331,13.92
86,603505,18.19
87,000949,4.44
88,301191,125.08
89,300237,3.22
90,001358,32.2
91,002515,8.07
92,603269,13.89
93,688592,49.0
94,603083,133.05
95,688275,54.7
96,873690,36.2
97,688282,46.46
98,603929,44.78
99,002258,12.9
100,301019,19.16
101,301456,32.0
102,000592,3.49
103,601233,14.95
104,688347,95.77
105,002049,89.0
106,300086,7.08
107,002407,17.64
108,688577,107.7
109,601127,157.22
110,601279,4.31
111,600893,39.6
112,002052,17.01
113,300877,27.8
114,603040,89.9
115,603037,14.06
116,603606,66.02
117,600282,5.08
