,代码,最新价
0,300147,10.54
1,688098,15.4
2,300536,11.63
3,300642,23.09
4,300328,16.98
5,300810,65.47
6,301321,19.32
7,688381,29.76
8,300049,72.23
9,300598,55.39
10,301632,44.36
11,300404,13.15
12,872925,30.18
13,836504,34.03
14,688679,20.79
15,831641,22.16
16,830839,39.8
17,300995,64.11
18,300897,32.96
19,688320,54.02
20,301009,16.98
21,300004,11.44
22,688521,127.28
23,301368,76.39
24,300680,45.89
25,688319,31.21
26,831195,21.61
27,300907,42.88
28,301525,106.54
29,688118,35.51
30,301183,82.0
31,300631,36.87
32,300456,26.09
33,430047,28.44
34,301413,117.0
35,300913,59.8
36,688775,300.0
37,300809,52.0
38,873593,46.3
39,871478,32.22
40,300153,47.25
41,002421,3.8
42,600503,3.26
43,002283,6.99
44,600594,4.59
45,600218,9.96
46,600805,5.91
47,600590,11.72
48,002161,9.31
49,603520,12.16
50,603038,15.9
51,603192,27.45
52,603158,12.85
53,605337,14.05
54,600980,25.47
55,603339,16.04
56,002052,18.25
57,603811,16.82
58,605303,15.05
59,002046,36.81
60,601138,48.91
61,002657,42.74
62,605028,22.2
63,002158,23.85
64,002428,25.82
65,603115,18.9
66,600990,35.07
67,002272,18.02
68,603657,38.7
69,603186,43.21
70,002553,30.0
71,600841,7.58
72,000799,57.7
73,600410,22.75
74,002518,33.74
75,603213,15.29
76,003019,39.59
77,603219,20.68
78,603222,10.78
79,601689,54.79
80,603139,25.18
81,002397,3.96
82,600110,8.47
83,600076,2.97
84,001306,110.57
85,603798,13.75
86,002445,2.64
87,002364,24.97
88,002343,9.57
89,600658,7.71
90,605376,46.24
91,002298,12.44
92,605100,23.78
93,600839,11.67
94,002873,15.19
95,002820,15.86
96,002645,18.05
97,003020,37.0
98,605068,25.54
99,002510,7.6
100,600835,30.27
101,600619,24.99
102,603083,64.83
103,600557,19.83
104,600682,8.82
105,603626,11.46
106,002600,12.24
107,002062,7.28
108,002871,16.98
109,002177,7.51
110,603336,9.17
111,000617,9.72
112,002382,6.74
113,002131,4.88
114,600400,2.67
115,300394,121.98
