,代码,昨收
0,920992,22.18
1,920985,9.07
2,920982,262.87
3,920981,35.37
4,920978,38.4
5,920976,25.85
6,920974,8.71
7,920971,34.08
8,920970,9.46
9,920964,7.99
10,920961,26.92
11,920957,14.46
12,920953,35.74
13,920950,21.39
14,920946,11.34
15,920943,26.06
16,920942,46.62
17,920932,24.52
18,920931,17.24
19,920926,20.14
20,920925,31.59
21,920924,23.97
22,920914,29.8
23,920906,29.2
24,920896,22.86
25,920895,24.2
26,920892,17.91
27,920885,20.44
28,920879,25.34
29,920876,30.41
30,920873,8.13
31,920871,17.58
32,920870,20.05
33,920866,9.12
34,920857,27.08
35,920856,18.9
36,920855,20.08
37,920839,55.3
38,920837,16.5
39,920834,15.5
40,920833,19.97
41,920832,8.34
42,920826,13.1
43,920821,28.73
44,920819,4.25
45,920810,15.46
46,920809,5.92
47,920808,88.05
48,920807,18.21
49,920806,14.16
50,920802,17.4
51,920799,50.89
52,920792,13.48
53,920790,40.86
54,920786,9.9
55,920781,10.66
56,920779,40.4
57,920770,19.08
58,920768,13.59
59,920765,21.3
60,920753,25.65
61,920751,21.24
62,920748,41.17
63,920735,36.34
64,920729,9.83
65,920726,18.85
66,920725,39.8
67,920720,16.15
68,920719,14.84
69,920718,18.77
70,920717,12.61
71,920706,28.59
72,920703,15.95
73,920701,19.27
74,920699,56.99
75,920694,26.97
76,920693,43.85
77,920690,33.03
78,920689,37.64
79,920685,15.45
80,920682,9.82
81,920680,9.52
82,920679,22.86
83,920675,13.21
84,920670,14.31
85,920665,13.49
86,920663,20.99
87,920662,31.0
88,920656,18.6
89,920651,39.91
90,920642,15.16
91,920641,20.68
92,920640,26.81
93,920639,8.43
94,920634,27.63
95,920627,26.48
96,920608,22.95
97,920599,20.5
98,920593,35.17
99,920592,40.95
100,920580,16.2
101,920579,25.88
102,920578,27.92
103,920576,30.23
104,920575,13.16
105,920571,10.12
106,920570,39.47
107,920566,12.87
108,920564,22.83
109,920556,11.19
110,920553,12.39
111,920547,26.84
112,920541,15.71
113,920533,31.9
114,920527,19.21
115,920526,25.43
116,920523,28.87
117,920522,59.5
118,920519,13.94
119,920510,19.51
120,920509,38.42
121,920508,26.67
122,920505,52.84
123,920504,27.67
124,920496,11.09
125,920493,142.13
126,920491,30.55
127,920489,20.3
128,920478,22.92
129,920476,27.96
130,920475,18.88
131,920471,14.85
132,920469,13.95
133,920455,10.01
134,920454,18.32
135,920445,11.54
136,920438,37.6
137,920436,17.91
138,920433,6.76
139,920429,17.27
140,920427,14.92
141,920425,24.25
142,920422,14.09
143,920419,18.05
144,920418,30.11
145,920415,15.93
146,920414,14.15
147,920407,22.25
148,920405,20.89
149,920403,24.12
150,920402,11.06
151,920396,34.6
152,920395,14.27
153,920394,41.17
154,920392,31.5
155,920378,11.16
156,920375,16.55
157,920374,27.03
158,920371,10.81
159,920370,4.79
160,920368,29.08
161,920367,24.79
162,920363,19.09
163,920357,27.0
164,920351,26.46
165,920346,27.39
166,920344,26.28
167,920339,10.3
168,920305,11.28
169,920304,13.03
170,920300,16.55
171,920299,18.01
172,920284,37.96
173,920278,10.11
174,920275,9.63
175,920274,32.53
176,920273,36.2
177,920271,16.63
178,920270,18.15
179,920267,28.0
180,920266,10.44
181,920263,14.46
182,920262,27.25
183,920261,15.23
184,920260,13.49
185,920252,27.46
186,920249,14.85
187,920247,29.01
188,920245,30.81
189,920242,32.7
190,920239,34.64
191,920237,25.46
192,920230,15.1
193,920227,59.1
194,920225,29.76
195,920223,18.41
196,920221,20.2
197,920212,14.86
198,920208,26.65
199,920207,23.61
200,920204,19.91
201,920199,37.99
202,920198,12.19
203,920195,19.48
204,920190,27.36
205,920185,29.22
206,920184,21.1
207,920179,36.62
208,920175,13.03
209,920174,61.16
210,920171,24.96
211,920169,30.32
212,920167,18.47
213,920163,16.15
214,920158,18.15
215,920152,23.41
216,920149,14.07
217,920146,10.01
218,920145,26.5
219,920139,22.85
220,920132,21.04
221,920130,25.5
222,920128,30.02
223,920123,17.69
224,920122,41.5
225,920118,26.7
226,920116,67.02
227,920112,40.16
228,920111,27.35
229,920110,38.3
