,代码,昨收
354,688628,35.93
355,688627,93.6
356,688626,64.71
357,688625,32.76
358,688623,69.64
359,688622,113.18
360,688621,69.32
361,688620,13.01
362,688619,16.18
363,688618,26.4
364,688617,290.99
365,688616,13.83
366,688615,167.28
367,688613,20.27
368,688612,31.31
369,688611,38.86
370,688610,48.93
371,688609,10.48
372,688608,232.02
373,688607,30.95
374,688606,74.18
375,688605,60.28
376,688603,76.3
377,688602,9.0
378,688601,41.83
379,688600,22.86
380,688599,15.2
381,688598,25.15
382,688597,8.23
383,688596,36.8
384,688595,38.38
385,688593,16.84
386,688592,42.4
387,688591,52.4
388,688590,21.51
389,688589,23.83
390,688588,15.66
391,688586,12.16
392,688585,96.69
393,688584,24.41
394,688583,93.54
395,688582,67.26
396,688581,80.7
397,688580,54.52
398,688579,11.45
399,688578,90.01
400,688577,65.7
401,688576,70.46
402,688575,15.29
403,688573,29.76
404,688571,8.61
405,688570,21.94
406,688569,22.8
407,688568,38.2
408,688567,16.95
409,688566,31.95
410,688565,10.79
411,688563,56.1
412,688562,17.98
413,688561,33.84
414,688560,14.79
415,688559,30.31
416,688558,28.12
417,688557,36.0
418,688556,10.71
419,688555,1.12
420,688553,22.54
421,688552,38.06
422,688551,41.33
423,688550,41.13
424,688549,8.37
425,688548,11.4
426,688545,32.57
427,688543,55.6
428,688539,31.79
429,688538,2.54
430,688536,139.51
431,688535,83.1
432,688533,27.55
433,688531,59.01
434,688530,18.17
435,688529,21.71
436,688528,11.66
437,688526,16.83
438,688525,64.07
439,688523,24.99
440,688522,44.9
441,688521,105.55
442,688520,68.45
443,688519,45.26
444,688518,22.56
445,688517,15.58
446,688516,36.75
447,688515,93.46
448,688513,61.88
449,688512,12.18
450,688511,23.2
451,688510,25.38
452,688509,4.63
453,688508,59.49
454,688507,101.2
455,688506,314.7
456,688505,10.24
457,688503,51.15
458,688502,340.8
459,688501,30.63
460,688500,77.87
461,688499,57.8
462,688498,264.39
463,688496,9.39
464,688489,41.88
465,688488,16.8
466,688486,62.71
467,688485,13.13
468,688484,44.7
469,688480,41.9
470,688479,20.01
471,688478,36.62
472,688475,33.67
473,688472,9.08
474,688469,5.1
475,688468,8.32
476,688466,21.75
477,688459,10.55
478,688458,43.2
479,688456,44.61
480,688455,15.12
481,688450,29.14
482,688449,46.58
483,688448,46.7
484,688443,33.8
485,688439,57.79
486,688435,35.43
487,688433,40.35
488,688432,11.88
489,688429,14.66
490,688428,29.82
491,688426,23.66
492,688425,5.86
493,688420,26.42
494,688419,28.6
495,688418,29.69
496,688416,41.36
497,688411,96.4
498,688410,17.1
499,688409,58.63
500,688408,48.82
501,688403,13.27
502,688401,42.66
503,688400,31.09
504,688399,65.12
505,688398,20.9
506,688396,46.17
