,代码,最新价
0,920022,40.5
1,300993,20.26
2,301043,46.25
3,688662,57.8
4,301379,29.54
5,688195,132.14
6,301421,108.3
7,301391,71.84
8,300582,18.65
9,300859,56.99
10,300109,19.24
11,301308,127.95
12,301630,212.4
13,836957,17.98
14,300591,10.95
15,835174,62.79
16,301626,137.79
17,300922,27.68
18,838971,42.0
19,002154,4.68
20,600159,3.38
21,002453,6.66
22,603421,7.43
23,002303,4.7
24,600996,8.99
25,603956,7.34
26,001330,6.25
27,002739,12.82
28,300833,47.16
29,002468,18.76
30,600718,11.3
31,000978,7.68
32,600706,13.06
33,002059,7.35
34,600509,8.67
35,600330,12.73
36,603036,22.61
37,002549,20.76
38,000014,18.45
39,603810,16.03
40,002584,9.22
41,002796,21.22
42,603618,10.11
43,002715,27.58
44,605255,91.96
45,603219,22.43
46,603297,130.92
47,001234,40.15
48,002222,50.47
49,001221,61.28
50,603978,22.54
51,002785,31.24
52,603863,23.87
53,002460,52.82
54,001309,141.01
55,605068,34.87
56,002097,15.84
57,601869,120.62
58,002052,15.42
59,002674,17.17
60,600562,30.6
61,603686,23.12
62,600619,25.23
63,002564,9.06
64,002641,5.1
65,600400,3.33
66,600730,10.63
67,688205,154.0
68,688010,34.24
69,600530,8.43
70,002659,6.14
71,832145,26.01
72,301376,21.69
73,300141,10.27
74,603878,7.89
75,300198,2.43
76,300092,18.4
77,836699,66.76
78,688552,37.74
79,002213,18.54
80,605090,33.39
81,301227,39.55
82,600348,7.6
83,002683,44.87
84,002088,13.7
85,688550,48.92
86,688002,81.74
87,002353,52.0
88,688661,46.4
89,000877,6.74
90,002145,5.31
91,688778,86.7
92,300341,18.33
93,000680,10.15
94,603227,9.77
95,688228,186.8
96,301219,72.03
97,600629,19.25
98,300559,15.44
99,603216,17.31
100,603595,26.16
101,300408,48.33
102,600933,23.08
103,688349,30.37
104,002040,10.29
105,603699,40.47
106,600760,62.45
107,301353,29.3
108,002897,51.64
109,002456,14.36
110,688196,50.38
111,600425,4.79
112,688710,49.18
113,002941,16.91
114,601717,24.26
115,300029,6.23
116,300650,17.72
117,603519,13.24
118,003043,55.75
119,688449,52.09
120,300878,23.8
121,870508,26.63
122,688011,47.0
123,300511,6.2
124,603189,21.88
125,000425,10.52
126,600635,5.01
127,603360,26.93
128,832651,38.24
129,300904,71.0
130,001212,56.18
131,603767,32.42
132,301183,110.09
133,002534,15.61
134,300350,6.65
135,601699,15.0
136,600846,13.99
137,603871,13.65
138,601001,14.3
139,301150,42.0
140,688510,25.67
141,002326,17.36
142,603130,41.33
143,001332,52.33
144,300815,30.72
145,300133,9.47
146,300814,52.0
147,300715,12.08
148,002335,73.69
149,600031,21.89
150,002497,14.47
151,300487,56.84
152,600984,3.88
153,002718,24.34
154,300688,31.94
155,002244,11.5
156,600165,4.13
157,600421,8.15
158,603007,5.02
159,603261,23.03
160,600696,6.28
161,603813,23.94
162,688548,11.76
163,603389,30.26
164,002868,27.56
165,605378,29.29
166,002379,17.33
167,002938,57.68
168,603843,4.65
169,301533,40.58
170,600233,19.63
171,605136,11.28
172,002822,3.62
173,301392,187.62
174,301491,71.26
175,600658,6.83
176,688360,23.75
177,002654,14.38
178,301629,182.88
179,301171,33.04
180,002414,11.84
181,300260,41.17
182,603196,23.2
183,603668,15.2
184,834950,24.44
185,603580,14.85
186,000572,5.46
187,600808,3.72
188,300394,187.98
189,603358,43.7
190,603040,72.18
191,300209,6.39
192,600708,3.75
193,836942,44.1
194,002827,42.23
195,301479,100.33
196,300603,11.41
197,300979,55.9
198,300233,20.18
199,600888,7.85
200,300371,14.63
201,301234,47.99
202,000701,6.09
203,301458,38.13
204,603181,16.91
205,000962,24.25
206,600985,12.68
207,301383,38.49
208,002392,10.33
209,600576,8.75
210,300842,59.77
211,002042,5.77
212,300785,41.6
213,688456,55.23
214,603558,10.32
215,300850,40.0
216,300418,43.45
217,688652,83.2
218,603280,45.3
219,000599,5.46
220,600316,35.96
221,002221,8.81
222,302132,85.67
223,300331,40.36
224,002469,9.13
225,002475,55.41
226,688226,54.24
227,600345,30.28
228,603090,44.27
229,002466,45.01
230,688648,70.29
231,600379,13.45
232,301139,22.27
233,002232,23.34
234,600761,22.5
235,603298,28.97
236,002548,5.22
237,300877,27.62
238,688281,68.88
239,300144,9.69
240,002277,7.73
241,002875,17.5
242,301590,200.0
243,000070,11.58
244,603665,26.8
245,688660,20.08
246,002302,6.88
247,601898,11.75
248,000988,91.12
249,301021,40.88
250,603080,21.92
251,603101,12.38
252,603816,31.53
253,600405,6.46
254,600331,11.43
255,002911,11.69
256,300413,33.01
257,000430,8.07
258,603969,10.45
259,603391,51.24
260,002742,4.76
261,002725,15.35
262,688502,460.1
263,301275,56.17
264,001216,16.17
265,600848,9.59
266,603296,97.93
267,000610,15.58
268,600089,16.38
269,301096,63.55
270,002971,31.78
271,300729,16.2
272,603610,17.3
273,300846,23.09
274,600162,2.99
275,601155,15.76
276,300994,19.9
277,688248,50.97
278,600054,13.1
279,002347,8.47
280,000638,4.38
281,000909,5.77
282,002402,45.61
283,301489,239.8
284,872351,30.38
285,300655,13.55
286,600188,13.57
287,002708,13.82
288,300939,37.41
289,688287,5.02
290,688292,25.5
291,688689,28.88
292,872392,37.52
293,603877,14.42
294,603338,56.15
295,688125,51.71
296,002540,6.86
297,603398,7.45
298,688186,26.4
299,605169,15.24
300,000935,20.44
301,002210,4.03
302,603733,23.69
303,002028,99.62
304,300596,35.09
305,600798,4.06
306,605108,21.22
307,605155,15.75
308,002138,35.62
309,300235,12.82
310,600605,34.23
311,301456,30.45
312,300219,7.9
313,603194,42.89
314,836208,27.99
315,301586,51.23
316,002364,30.58
317,300203,19.6
318,601208,21.09
319,002027,8.33
320,300698,48.66
321,600498,29.88
322,605178,30.18
323,002319,11.96
324,835179,37.73
325,600239,2.71
326,002307,4.83
327,603429,11.75
328,300801,28.63
329,300135,4.84
330,301071,32.63
331,300131,11.8
332,300084,9.09
333,301366,41.97
334,003011,21.3
335,603381,24.96
336,600375,7.32
337,300391,3.96
338,300901,17.09
339,688239,40.67
340,300390,23.24
341,603661,33.48
342,600075,4.62
343,001979,9.54
344,002226,6.8
345,603755,30.75
346,603530,30.93
347,300324,7.5
348,688676,56.72
349,603103,17.96
350,873679,26.22
351,603712,21.45
352,688789,77.06
353,002841,40.46
354,688312,29.96
355,000426,24.95
356,688478,39.44
357,873693,50.78
358,688631,87.2
359,601888,73.97
360,688313,76.55
361,300618,49.29
362,301073,26.47
363,600071,23.88
364,000526,48.8
365,001326,44.04
366,688503,63.5
367,001215,39.5
368,688766,105.5
369,300652,61.76
370,300293,25.49
371,001267,18.3
372,300518,13.3
373,000002,6.98
374,300925,26.67
375,833914,39.75
376,600138,10.7
377,873706,25.77
378,001317,50.79
379,300236,55.63
380,600487,22.9
381,600546,10.15
382,002783,10.13
383,600289,6.77
384,000933,19.39
385,600456,31.58
386,301052,70.0
387,300013,4.77
388,300917,47.35
389,002240,18.45
390,300791,25.0
391,000528,11.36
392,601598,6.9
393,600893,38.05
394,000055,4.5
395,300432,16.35
396,300308,421.5
397,002562,7.31
398,300143,11.86
399,688215,69.1
400,002685,8.75
401,603136,13.69
402,300879,39.52
403,600977,18.75
404,600325,5.68
405,002190,40.79
406,601665,5.67
407,600681,3.9
408,920489,23.47
409,301305,21.7
410,001356,15.31
411,002647,6.8
412,300905,35.46
413,830879,25.9
414,300532,14.08
415,600850,29.61
416,301123,51.52
417,002563,5.77
418,600409,5.79
419,000006,7.99
420,688622,109.0
421,002791,23.15
422,300670,8.08
423,002640,5.87
424,301330,35.03
425,000672,8.88
426,688123,93.53
427,002264,7.76
428,001203,11.93
429,300338,4.11
430,002276,18.7
431,688525,79.97
432,300354,46.09
433,001268,33.63
434,600995,11.78
435,600388,13.69
436,601138,66.1
437,300945,20.24
438,600990,27.47
439,300475,77.53
440,600326,13.8
441,600392,22.57
442,300240,8.47
443,001202,17.37
444,688717,76.94
445,601225,20.72
446,688416,46.58
447,000983,7.43
448,001333,22.29
449,001382,21.21
450,603737,46.75
451,600180,4.74
452,002179,41.42
453,600841,7.1
454,600835,28.25
455,873169,31.45
456,002947,44.45
457,603257,65.91
458,000420,4.4
459,301077,27.74
460,600859,14.95
461,605098,38.87
462,688201,15.89
463,688295,27.27
464,870976,28.53
465,603306,53.09
466,600426,26.52
467,300093,14.76
468,002253,11.05
469,603608,7.38
470,001210,16.04
471,601101,7.44
472,002545,13.62
473,300250,18.26
474,002690,20.73
475,301607,40.87
476,601899,25.02
