,代码,昨收
0,920018,9.17
1,830839,39.8
2,872392,35.6
3,300701,11.28
4,300686,11.14
5,301008,25.53
6,688702,92.5
7,300893,26.65
8,688657,52.26
9,301041,28.37
10,873726,43.31
11,300029,5.83
12,839273,40.47
13,688798,81.4
14,688521,127.28
15,831526,32.45
16,688577,66.4
17,300338,3.85
18,300806,23.3
19,688484,45.96
20,688709,35.81
21,688584,25.21
22,301002,24.0
23,688757,31.85
24,688116,44.82
25,833943,29.08
26,688328,27.52
27,836077,14.6
28,301026,28.25
29,688370,27.09
30,688456,47.3
31,300236,51.49
32,600503,3.26
33,002004,4.55
34,002476,5.15
35,000536,5.06
36,000721,8.95
37,600156,7.46
38,600218,9.96
39,603158,12.85
40,000700,9.46
41,605303,15.05
42,603626,11.46
43,002114,7.28
44,600722,6.18
45,300278,5.98
46,002953,11.46
47,603586,19.95
48,002158,23.85
49,603013,21.75
50,603222,10.78
51,603159,20.35
52,603366,9.78
53,603928,16.06
54,002888,19.27
55,600361,4.29
56,600980,25.47
57,600864,7.49
58,002167,13.29
59,003022,19.29
60,002635,14.29
61,002722,17.59
62,002981,34.06
63,002190,36.65
64,002725,14.58
65,000977,59.95
66,002468,17.28
67,603332,14.39
68,002823,17.18
69,600660,55.77
70,600671,16.89
71,600104,18.0
72,002553,30.0
73,002583,12.6
74,603038,15.9
75,002622,3.6
76,002281,55.0
77,603101,8.6
78,000650,5.8
79,000799,57.7
80,605288,58.98
81,603444,382.9
82,605028,22.2
83,603909,10.3
84,603800,48.49
85,002066,13.3
86,003009,54.33
87,002428,25.82
88,600510,7.01
89,600521,20.62
90,605179,20.83
91,003010,54.03
92,600658,7.71
93,603998,11.51
94,002625,45.03
95,601609,13.41
96,002980,24.52
97,002177,7.51
98,603002,8.21
99,601579,19.72
100,002164,12.01
101,600590,11.72
102,605188,12.43
103,600703,13.12
104,002792,17.54
105,002576,19.13
106,603926,13.24
107,002575,8.04
108,000420,4.22
109,600651,6.44
110,600346,15.01
111,002217,2.62
112,300256,4.34
113,002141,4.24
114,688018,170.28
115,688066,23.32
116,688502,377.27
117,688383,75.55
118,301626,157.22
119,301061,109.24
120,603657,38.7
121,920068,21.3
122,688486,69.54
123,300752,23.97
124,688256,933.98
125,600702,57.84
126,301173,52.36
127,600246,8.85
128,600301,26.3
129,002859,27.32
130,688361,86.08
131,002186,11.87
132,002273,23.43
133,688691,77.6
134,002243,8.59
135,300328,16.98
136,300684,36.15
137,605003,22.38
138,300642,23.09
139,688499,62.23
140,301392,166.22
141,002493,9.07
142,688049,53.49
143,000029,24.5
144,600615,13.64
145,605166,12.13
146,688619,18.0
147,301110,59.74
148,603893,180.3
149,001390,24.59
150,300665,10.87
151,688156,22.58
152,002600,12.24
153,600418,46.41
154,603758,14.19
155,001223,47.13
156,600197,15.7
157,300345,8.22
158,872808,91.21
159,300559,13.87
160,300895,50.05
161,603112,17.72
162,300965,77.75
163,300467,23.42
164,430139,27.35
165,600889,15.72
166,688079,12.15
167,000800,7.07
168,600250,11.59
169,688535,91.92
170,832735,41.03
171,688409,60.78
172,688037,122.0
173,300703,35.25
174,002402,30.83
175,600800,4.36
176,002272,18.02
177,600397,6.28
178,601020,22.7
179,688183,54.72
180,301421,83.38
181,300373,57.19
182,300066,7.08
183,600315,21.89
184,001318,14.43
185,300493,22.09
186,871245,35.51
187,301020,24.76
188,301219,61.38
189,873001,25.78
190,688772,16.98
191,688319,31.21
192,002046,36.81
193,688581,82.9
194,688610,51.95
195,601233,13.04
196,300548,100.26
197,300340,18.27
198,002469,8.85
199,605060,24.54
200,301051,23.42
201,603681,16.19
202,300666,76.86
203,600233,17.66
204,600369,4.77
205,688220,96.57
206,688362,36.0
207,000938,26.2
208,603551,11.34
209,000610,12.93
210,831726,21.51
211,603890,13.83
212,000063,37.8
213,300511,6.55
214,688120,110.31
215,600389,23.35
216,300153,47.25
217,301086,68.6
218,301387,43.6
219,600282,4.47
220,002826,24.39
221,603327,10.13
222,600822,12.35
223,300545,36.55
224,605218,23.89
225,002841,38.4
226,300433,25.62
227,603737,43.89
228,002427,7.78
229,600610,13.23
230,603822,60.56
231,600961,12.31
232,605388,7.71
233,603696,11.08
234,871857,20.02
235,002303,4.16
236,603400,66.48
237,301678,84.05
238,688686,113.33
239,600096,25.6
240,002651,13.13
241,000880,53.21
242,600199,10.87
243,688332,109.0
244,300791,23.7
245,300053,14.17
246,002630,2.5
247,301269,114.63
248,300391,4.25
249,002623,21.87
250,839371,11.03
251,603377,3.1
252,000609,3.3
253,600355,3.31
254,605333,34.11
255,300943,18.04
256,000887,21.94
257,002103,10.61
258,002023,11.45
259,000691,7.3
260,603330,7.49
261,430418,32.32
262,300740,18.9
263,688099,79.56
264,300343,5.38
265,000920,11.36
