,代码,最新价
0,920158,18.87
1,301563,152.68
2,300588,25.5
3,300475,104.68
4,301617,83.58
5,688209,23.98
6,688336,59.9
7,300980,30.57
8,688228,211.0
9,300111,9.0
10,300698,50.09
11,300237,2.47
12,301075,50.8
13,600408,2.7
14,600748,5.78
15,600403,6.0
16,002370,7.55
17,000626,8.87
18,003012,8.1
19,002560,9.09
20,603162,10.2
21,002171,12.72
22,601011,3.95
23,002320,12.73
24,002942,26.46
25,000572,7.14
26,600629,37.24
27,601126,27.37
28,002885,26.26
29,605318,58.15
30,603938,17.59
31,001309,196.46
32,601212,5.94
33,603178,21.45
34,002190,47.1
35,000014,22.33
36,002054,7.7
37,603933,18.16
38,002825,11.89
39,603810,17.28
40,002813,28.31
41,002424,5.95
42,002571,9.15
43,000158,24.57
44,002637,11.58
45,002227,15.0
46,002208,11.81
47,002793,5.53
48,603778,4.33
49,600179,4.11
50,002219,2.45
51,301448,61.5
52,301607,46.38
53,600234,13.49
54,688758,18.62
55,688525,113.55
56,688697,16.05
57,002270,25.2
58,301348,24.2
59,300448,7.63
60,002040,12.54
61,600885,28.66
62,300274,163.0
63,688109,126.87
64,301099,50.5
65,300515,21.5
66,601898,13.29
67,920018,33.02
68,301577,63.16
69,301071,43.95
70,000063,54.03
71,301308,181.63
72,300006,4.8
73,002971,36.98
74,603308,37.9
75,688788,64.36
76,301105,48.72
77,688269,42.94
78,000011,10.05
79,002176,10.39
80,003033,78.64
81,600490,9.3
82,600121,4.92
83,300865,32.37
84,301117,38.96
85,920169,33.7
86,001301,83.45
87,603069,24.02
88,300469,80.65
89,002940,43.79
90,300677,45.5
91,688557,38.27
92,301010,20.45
93,300159,2.9
94,300436,127.45
95,600067,3.77
96,301067,33.93
97,300808,30.22
98,300141,13.99
99,002150,19.85
100,000566,5.88
101,002513,8.13
102,920725,32.55
103,301456,32.46
104,300001,30.0
105,688266,102.7
106,301323,76.24
107,002077,16.69
108,300086,7.61
109,002261,36.09
110,300486,20.69
111,688307,37.05
112,600563,128.98
113,002603,17.0
114,301259,38.81
115,601022,10.57
116,601628,42.8
117,300846,23.42
118,603730,7.14
119,002231,3.06
120,000638,4.56
121,000908,6.23
122,920876,30.5
123,300961,17.86
124,688549,10.19
125,002592,7.09
126,600735,4.8
127,002766,6.07
128,002868,27.48
129,600228,6.09
130,002528,2.94
131,002047,2.31
132,600546,11.33
133,603007,6.33
134,603843,5.7
135,600381,4.88
136,002713,7.64
137,688141,56.48
138,300810,50.1
139,002305,2.35
140,000567,7.11
141,300339,61.01
142,603389,42.98
143,000793,3.03
144,300349,13.42
145,600730,8.91
146,002029,9.37
147,688392,108.0
148,600775,12.0
149,301345,247.0
150,688677,54.75
151,600037,8.2
152,002010,6.65
153,300302,21.73
154,605098,40.71
155,603378,6.12
156,688290,65.2
157,688236,24.49
158,688123,152.99
159,600605,32.74
160,300506,3.96
161,688198,107.29
162,600405,6.09
163,688607,27.59
164,600172,6.42
165,600557,15.97
166,300642,26.98
167,300073,66.84
168,600329,45.92
169,300158,7.23
170,300047,16.22
171,605555,17.22
172,605055,11.51
173,300414,12.75
174,300983,23.62
175,688628,36.22
176,002586,3.95
177,003010,48.12
178,302132,89.71
179,688766,114.3
180,603530,40.8
181,002591,6.28
182,603061,139.5
183,603301,67.53
184,002651,11.86
185,600078,9.33
186,603813,26.88
187,688615,175.8
188,920047,25.46
189,603290,115.11
190,300897,32.28
191,603037,14.7
192,688656,158.88
193,601319,8.55
194,300667,15.68
195,600996,9.69
196,002210,4.19
197,301533,42.93
198,002028,111.82
199,688316,64.6
200,300909,34.38
201,600059,10.35
202,603931,29.79
203,002717,1.6
204,002342,8.35
205,301668,52.88
206,300152,2.16
207,601998,7.84
208,688068,177.32
209,000625,13.33
210,301489,219.98
211,688192,65.7
212,002634,5.23
213,603678,39.99
214,000972,3.91
215,600188,14.8
216,300753,30.05
217,600798,4.22
218,600857,17.55
219,000595,5.1
220,300308,366.97
221,600178,13.81
222,301358,58.09
223,920207,24.98
224,002851,76.8
225,000691,11.72
226,688386,77.56
227,920765,23.6
228,688691,148.51
229,300758,13.88
230,000796,6.23
231,002497,16.12
232,600523,15.27
233,601083,12.3
234,601699,15.93
235,600348,7.87
236,601579,24.85
237,688382,27.75
238,920806,14.66
239,603406,50.5
240,300943,18.7
241,301178,67.66
242,002082,15.45
243,301386,25.66
244,300204,37.47
245,300814,54.07
246,301367,85.7
247,300376,5.3
248,600173,10.0
249,603124,83.0
250,002703,14.15
251,688331,99.2
252,000417,7.56
253,300322,24.32
254,002345,15.21
255,601225,22.54
256,600193,4.46
257,688676,71.65
258,603685,17.71
259,001287,23.76
260,300878,22.59
261,002238,9.02
262,603320,20.96
263,002390,3.87
264,000021,30.44
265,001380,27.83
266,300014,83.75
267,002294,56.41
268,000886,7.05
269,688388,39.27
270,301042,63.5
271,600841,6.41
272,001221,68.85
273,601288,7.49
274,603986,208.13
275,920075,30.98
276,002626,21.9
277,920493,145.25
278,300806,28.84
279,300552,26.18
280,002163,10.68
281,688367,22.06
282,300948,20.1
283,002837,76.52
284,002808,5.56
285,300179,12.87
286,688433,54.5
287,300573,71.45
288,001317,51.17
289,600531,14.97
290,300572,30.33
291,688416,61.02
292,600809,198.8
293,301499,26.48
294,603097,24.7
295,688125,54.18
296,688139,33.39
297,601088,42.01
298,300146,12.46
299,300366,6.61
300,002181,8.47
301,601963,10.35
302,688775,284.61
303,603257,74.77
304,301316,53.62
305,603839,10.03
306,002168,4.1
307,301086,76.36
308,920185,30.3
309,301310,46.12
310,601012,20.25
311,600651,9.19
312,601939,9.19
313,000062,28.05
314,920252,29.2
315,600756,16.41
316,300096,8.22
317,000526,45.27
318,002636,13.8
319,300765,43.73
320,600217,4.37
321,688256,1274.0
322,600702,63.5
323,301236,53.24
324,603500,12.4
325,000596,159.01
326,300247,4.42
327,300729,15.36
328,300975,12.94
329,600123,6.88
330,300062,6.11
331,300472,6.98
332,301293,63.49
333,688737,22.4
334,603283,46.65
335,603590,50.32
336,688233,49.57
337,920026,39.8
338,600684,5.88
339,688539,35.46
340,688303,29.73
341,000571,5.98
342,001225,56.81
343,920267,28.19
344,600993,29.01
345,601101,7.83
346,600395,5.66
347,300127,39.61
348,300344,4.35
349,601606,53.1
350,300225,5.24
351,600513,21.39
352,688187,57.98
353,301291,51.65
354,000962,27.77
355,300911,52.5
356,603988,31.31
357,688249,38.09
358,601198,11.96
359,688660,20.87
360,688449,59.08
361,300198,2.23
362,688335,25.51
363,301183,94.11
364,601398,7.63
365,000669,3.15
366,300399,28.78
367,300766,38.31
368,601918,6.84
369,920571,10.53
370,301221,58.29
371,300650,17.42
372,601601,37.7
373,600733,8.04
374,600025,10.0
375,002005,2.38
376,002807,4.78
377,603196,23.48
378,600433,3.36
379,600315,28.92
380,601059,20.33
381,002213,20.88
382,600716,3.91
383,002276,18.57
384,002689,4.39
385,600593,36.89
386,605499,297.9
387,920971,40.4
388,002838,27.6
389,600410,18.94
390,601969,8.95
391,300628,35.88
392,920689,37.3
393,002976,24.93
394,300042,29.52
395,300477,2.0
396,688313,66.86
397,600421,7.59
398,601229,9.59
399,300338,4.07
400,300419,7.1
401,001298,33.35
402,002189,23.71
403,002107,6.71
404,300192,18.05
405,603683,31.99
406,300137,7.22
407,600211,49.22
408,300138,14.48
409,002289,38.87
410,000488,2.09
411,300485,12.52
412,301062,8.9
413,300167,6.3
414,600438,24.84
415,002731,13.81
416,688506,346.8
417,600196,29.15
418,003032,6.38
419,688513,54.71
420,603222,11.18
421,688151,22.0
422,603551,11.77
423,601988,5.38
424,002966,8.61
425,603999,6.5
426,001222,24.7
427,601825,8.81
428,002756,38.58
429,001330,5.52
430,600371,9.35
431,000955,5.54
432,002948,4.99
433,920111,27.68
434,603400,60.06
435,601077,7.28
436,000568,137.05
437,000989,10.12
438,600525,3.37
439,600508,12.92
440,002962,15.77
441,600221,1.7
442,603612,25.54
443,688301,116.4
444,002596,4.01
445,000983,7.44
446,600386,4.57
447,300957,47.16
448,001382,21.86
449,600355,3.45
450,003816,4.02
451,603439,12.7
452,603130,47.89
453,002132,4.06
454,601328,7.0
455,688260,32.21
456,002529,7.64
457,300379,2.37
458,002475,59.2
459,300554,26.71
460,000969,20.31
461,600740,4.18
462,920608,23.33
463,601919,14.99
464,000536,4.78
465,601838,18.65
466,603677,19.22
467,002304,70.47
468,601857,8.43
469,603367,21.15
470,600919,11.04
471,300395,71.46
472,688419,29.55
473,300408,51.47
474,600026,12.52
475,688063,68.15
476,002839,4.42
477,600613,6.33
478,002709,35.25
479,603259,101.06
480,002787,9.53
481,300095,9.58
482,002769,8.93
483,300558,58.81
484,601018,3.84
485,301656,28.23
486,002716,7.71
487,600415,19.92
488,688708,71.66
489,600519,1484.91
490,301379,30.98
491,601015,3.9
492,000631,3.25
493,301391,85.93
494,300391,3.93
495,300510,4.58
496,002358,5.24
497,300093,13.18
498,002779,134.0
499,300591,10.62
500,603856,12.0
501,002742,4.68
502,601008,6.11
503,002348,4.08
504,601665,6.12
505,600839,10.25
506,300240,8.16
507,600933,20.68
508,688690,27.62
509,603188,4.15
510,000600,8.96
511,601877,30.64
512,002356,3.47
513,002654,14.62
514,600252,2.82
515,688711,28.81
516,688235,285.68
517,603836,14.13
518,600515,4.24
519,300693,43.15
520,000510,5.69
521,002485,3.58
522,600971,7.15
523,920112,40.0
524,600498,26.62
525,600548,10.22
526,688478,37.2
527,002200,7.28
528,300745,23.53
529,601965,17.64
530,688261,74.12
531,603919,20.66
532,600115,4.45
533,603558,10.49
534,002397,3.75
535,300175,6.02
536,601068,5.26
537,301005,54.64
538,301559,17.33
539,002864,30.35
540,300770,46.9
541,300790,30.46
542,600350,9.14
543,601666,8.37
544,002963,16.02
545,002718,24.5
546,600012,14.56
547,000937,6.17
548,600771,19.33
549,605008,17.77
550,300268,10.12
551,600985,13.27
552,300807,39.1
553,688689,27.23
554,002135,4.71
555,002782,18.01
556,688621,62.21
557,600661,10.21
558,301275,54.13
559,920087,17.26
560,002432,40.77
561,605566,28.18
562,301003,37.9
563,600257,5.58
564,002913,39.8
565,300966,22.31
566,300304,12.77
567,603636,11.96
568,002741,22.3
569,688517,15.94
570,603088,11.28
571,601872,8.86
572,002313,11.21
573,300413,30.66
574,301584,26.92
575,600926,16.29
576,300932,11.47
577,603096,18.12
578,600792,4.12
579,688153,34.48
580,000001,11.54
581,300548,97.98
582,600758,4.17
583,002409,76.87
584,600269,5.0
585,600667,8.37
586,601333,3.37
587,600177,7.63
588,002860,14.51
589,300125,11.06
590,000810,13.56
591,300857,155.61
592,600351,6.87
593,688180,38.88
594,300899,27.57
595,001333,25.95
596,601001,15.61
597,600238,6.05
598,301357,147.0
599,301295,28.85
600,300652,65.13
601,603707,10.47
602,603167,9.61
603,002016,6.15
604,603323,5.27
605,601061,10.61
606,920475,19.57
607,600000,13.32
608,002918,16.94
609,002990,27.67
610,600279,5.39
611,603869,8.98
612,002644,8.94
613,603939,24.41
614,000520,4.51
615,601118,5.44
616,601336,68.63
617,301257,44.36
618,600469,6.32
619,600028,5.45
620,688358,33.57
621,603233,17.31
622,002633,16.6
623,300623,32.2
624,920199,38.57
625,601777,11.97
626,301215,6.5
627,688682,31.4
628,300632,13.03
629,002608,8.41
630,600358,5.61
631,300189,4.69
632,600566,25.39
633,002563,5.68
634,002820,12.35
635,920262,26.76
636,601169,5.76
637,601658,5.75
638,920344,27.13
639,600036,41.93
640,600400,2.92
641,603608,7.83
642,002790,7.81
643,300222,13.74
644,603223,9.8
645,600015,6.85
646,300731,42.65
647,688282,61.42
648,688150,25.1
649,300450,54.93
650,600089,20.07
651,002275,15.13
652,300841,78.49
653,601128,7.12
654,300893,36.55
655,600518,2.05
656,000895,25.4
657,300452,13.31
658,600892,4.1
659,002199,10.35
660,603613,30.92
661,301486,83.14
662,600436,197.28
663,002805,14.37
664,603580,14.64
665,600698,10.43
666,603071,14.63
667,601111,8.35
668,600683,4.15
669,301069,23.02
670,605339,17.82
671,603587,12.57
672,603726,25.15
673,920808,88.51
674,603759,8.45
675,603040,73.6
676,600970,9.42
677,300301,2.13
678,301201,31.78
679,000950,5.29
680,603027,11.7
681,603014,39.59
682,603083,104.81
683,601881,18.2
684,603213,14.0
685,002932,19.38
686,002161,7.57
687,300105,7.61
688,000031,3.26
689,002958,3.26
690,300363,25.03
691,603326,8.78
692,000403,16.39
693,600886,14.32
694,688058,34.09
695,601528,5.5
696,000538,57.71
697,603168,7.79
698,603901,12.21
699,603198,41.0
700,300165,4.42
701,603579,33.1
702,300675,15.6
703,600834,8.95
704,300318,5.61
705,600406,23.9
706,300747,26.16
707,605288,86.2
708,300424,17.02
709,688131,77.89
710,002752,5.71
711,601228,3.43
712,002353,53.33
713,688167,149.09
714,300581,17.42
715,300998,23.26
716,002130,28.84
717,601818,3.47
718,601326,3.52
719,300327,25.87
720,002823,17.51
721,002920,138.73
722,002142,27.4
723,002278,9.65
724,600760,67.14
725,600530,8.44
726,601997,5.99
727,688208,37.82
728,000518,2.43
729,300223,90.04
730,300313,8.48
731,002436,20.81
732,600900,28.16
733,605005,18.4
734,600908,6.15
735,920249,14.72
736,600011,7.48
737,600535,16.16
738,300076,6.21
739,002960,12.51
740,301169,41.19
741,300026,3.79
742,002156,42.82
743,002867,13.91
744,603319,37.14
745,603390,12.71
746,003004,19.15
747,002882,30.47
748,603032,21.73
749,601816,5.18
750,301118,25.88
751,000552,2.62
752,000735,6.64
753,600377,13.34
754,600094,5.32
755,000910,8.11
756,603928,16.15
757,601921,8.14
758,603217,24.6
759,600016,4.06
760,000524,13.69
761,688373,8.21
762,000988,80.96
763,603998,12.38
764,300314,13.92
765,000573,4.27
766,002737,15.54
767,600594,4.24
768,601995,38.27
769,603353,17.05
770,603288,39.77
771,600863,4.27
772,300434,9.94
773,600997,7.23
774,601107,5.76
775,300831,14.35
776,601166,20.45
777,601860,2.91
778,002145,5.82
779,603229,10.21
780,603317,11.6
781,002481,5.88
782,601888,69.96
783,920375,16.62
784,300502,324.76
785,600159,2.99
786,605117,75.1
787,600572,4.48
788,300715,12.24
789,301439,15.26
790,600276,66.84
791,688158,24.49
792,600285,22.94
793,002973,15.5
794,301598,68.64
795,002786,9.29
796,000788,6.21
797,002678,4.65
798,002484,30.97
799,000050,9.48
800,002521,9.38
801,600941,107.81
802,600085,34.55
803,002612,17.48
804,600215,8.01
805,001872,20.65
806,001229,35.54
807,000505,6.51
808,002117,11.29
809,600642,8.13
810,000590,11.28
811,603989,18.05
812,300964,43.07
813,002284,13.26
814,600925,4.92
815,603099,47.48
816,300329,15.05
817,000755,5.0
818,002789,10.06
819,605111,40.37
820,300568,13.43
821,600107,8.37
822,600750,21.8
823,000905,8.51
824,002331,8.47
825,001979,10.27
826,600665,3.43
827,300530,32.43
828,603515,17.49
829,600033,3.45
830,600098,6.99
831,600887,27.81
832,002947,44.91
833,603689,8.83
834,301207,17.75
835,600428,7.07
836,600027,5.29
837,002388,5.29
838,688237,52.77
839,601033,16.25
840,920403,25.16
841,300012,14.26
842,000017,7.24
843,301491,65.03
844,301035,80.42
845,001210,17.96
846,002281,60.26
847,000858,122.74
848,601985,9.17
849,600827,9.15
850,000692,3.63
851,300426,9.12
852,603209,14.83
853,002983,20.51
854,920496,11.21
855,301626,122.12
856,301213,53.9
857,300688,29.54
858,601811,14.95
859,603655,36.98
860,600130,3.81
861,688428,24.63
862,920351,28.2
863,300707,15.28
864,601668,5.65
865,600774,9.62
866,300207,30.66
867,301360,84.44
868,300648,42.61
869,600901,5.81
870,688626,51.84
871,002806,11.8
872,002818,11.9
873,300972,192.98
874,001234,27.49
875,000425,11.75
876,301587,23.6
877,000034,39.55
878,601766,7.87
879,300206,11.83
880,603773,31.79
881,301500,18.02
882,300357,30.8
883,600131,18.5
884,002287,26.86
885,002907,16.84
886,600064,8.45
887,688772,23.21
888,603639,14.72
889,002568,27.01
890,600660,66.88
891,688391,31.78
892,600031,23.57
893,603160,79.6
894,000061,8.54
895,600343,15.02
896,688729,27.73
897,301398,49.27
898,000153,6.62
899,688658,22.02
900,002755,19.47
901,600323,28.37
902,002886,21.89
903,600388,15.25
904,002064,8.76
905,300016,8.81
906,601566,8.82
907,002457,11.16
908,300921,22.38
909,300767,22.55
910,300890,31.59
911,002074,42.07
912,603207,33.75
913,300702,24.65
914,601187,6.73
915,600020,4.42
916,300238,15.68
917,300708,8.94
918,600333,6.79
919,601808,13.83
920,300048,6.86
921,600126,9.19
922,000429,11.51
923,601728,6.83
924,600422,14.13
925,300672,90.78
926,002656,2.31
927,002670,21.05
928,002514,7.06
929,300855,28.57
930,688197,40.41
931,000089,7.13
932,002466,47.5
933,688056,35.48
934,600236,7.18
935,000902,14.45
936,605003,24.77
937,688443,29.55
938,301039,9.83
939,300933,9.9
940,600674,14.96
941,600483,9.98
942,600935,2.48
943,300003,17.9
944,600795,5.14
945,688668,90.9
946,600803,18.55
947,688627,154.7
948,300394,150.75
949,603387,8.11
950,603808,8.16
951,000718,2.7
952,000507,5.48
953,600305,8.11
954,603200,84.01
955,688501,29.66
956,600648,11.23
957,000333,73.18
958,603656,22.34
959,300389,16.75
960,600533,2.75
961,000597,5.62
962,600616,5.54
963,600084,5.53
964,600018,5.59
965,601318,58.02
966,002653,52.11
967,001378,22.67
968,301065,23.14
969,603605,80.01
970,301055,20.66
971,000733,49.54
972,603496,29.37
973,688620,12.24
974,688177,27.09
975,600461,9.11
976,300570,97.94
977,600960,6.14
978,600582,6.11
979,601138,63.59
980,601916,3.08
981,603861,12.03
982,000683,6.13
983,688548,12.14
984,001286,9.27
985,002871,15.7
986,002441,9.5
987,600017,3.18
988,300358,9.42
989,600620,6.3
990,000809,3.16
991,002437,3.23
992,688625,38.22
993,002196,9.58
994,688661,48.35
995,301106,29.37
996,001202,16.09
997,600008,3.33
998,000421,6.68
999,600779,42.95
1000,002036,10.41
1001,920932,24.47
1002,603235,27.22
1003,603375,41.2
1004,601188,3.49
1005,600992,13.91
1006,603718,7.02
1007,002650,6.97
1008,301258,34.34
1009,600559,17.19
1010,002133,3.59
1011,600725,3.61
1012,600479,10.6
1013,300390,25.02
1014,002384,62.68
1015,301172,22.53
1016,601688,22.05
1017,600598,14.73
1018,000090,3.74
1019,300604,85.0
1020,601000,3.9
1021,600573,11.71
1022,300181,19.12
1023,601066,26.75
1024,600510,7.82
1025,002425,3.84
1026,300880,19.78
1027,600035,4.05
1028,920885,19.99
1029,600968,3.97
1030,301329,19.68
1031,600928,4.04
1032,600829,8.1
1033,002192,40.32
1034,000609,4.24
1035,605266,20.85
1036,603489,25.16
1037,603065,8.46
1038,600372,12.69
1039,300870,198.48
1040,600905,4.32
1041,002422,34.88
1042,605577,13.31
1043,920547,26.46
1044,300683,34.33
1045,301390,35.13
1046,920985,9.24
1047,002728,8.94
1048,603987,9.23
1049,603183,4.59
1050,600132,54.04
1051,002039,17.87
1052,600963,4.56
1053,000088,4.49
1054,300937,26.8
1055,605028,27.49
1056,920005,45.4
1057,601577,9.37
1058,600429,4.8
1059,920729,9.51
1060,002997,37.63
1061,603163,43.19
1062,600717,4.78
1063,601158,4.78
1064,600998,4.93
1065,300888,39.32
1066,605567,10.1
1067,920266,10.27
1068,300725,40.61
1069,300620,99.6
1070,600831,4.92
1071,300760,230.93
1072,600662,5.38
1073,603669,5.4
1074,601619,5.17
1075,002232,21.0
1076,600153,10.3
1077,002333,5.5
1078,600558,5.59
1079,000166,5.45
1080,300052,11.37
1081,603596,48.82
1082,603345,70.7
1083,300895,43.88
1084,600583,5.47
1085,002223,38.07
1086,301126,11.36
1087,002819,28.95
1088,300842,64.53
1089,600543,5.93
1090,600958,11.55
1091,600929,5.96
1092,605068,25.05
1093,600332,25.72
1094,002043,12.2
1095,002602,19.18
1096,603659,26.92
1097,688012,274.4
1098,300910,53.28
1099,601377,6.6
1100,600825,6.6
1101,603324,27.28
1102,300171,14.81
1103,688288,28.45
1104,600612,50.15
1105,001218,20.73
1106,601179,7.37
1107,600511,28.94
1108,600903,7.09
1109,000919,6.98
1110,601163,14.29
1111,603043,16.02
1112,605066,7.73
1113,603381,23.79
1114,002566,7.99
1115,688108,30.3
1116,002724,7.67
1117,002723,7.97
1118,600066,29.75
1119,600682,7.69
1120,600080,7.45
1121,603225,15.3
1122,601689,68.24
1123,603679,16.3
1124,920130,25.74
1125,000963,40.91
1126,301520,41.49
1127,600872,18.63
1128,600520,27.77
1129,603899,27.43
1130,300749,8.88
1131,688623,67.82
1132,002286,9.98
1133,002950,9.8
1134,920278,9.97
1135,300666,101.38
1136,605268,10.21
1137,600352,10.14
1138,600283,9.7
1139,600004,9.61
1140,301535,19.76
1141,000899,10.46
1142,002415,33.4
1143,600618,11.23
1144,603299,10.82
1145,300124,80.78
1146,000411,11.46
1147,920950,21.12
1148,000004,12.88
1149,000028,25.39
1150,920014,13.12
1151,300306,12.6
1152,000799,64.28
1153,600272,12.81
1154,300523,25.01
1155,600995,12.9
1156,301119,38.43
1157,605208,14.38
1158,688410,15.01
1159,000048,16.89
1160,002927,15.96
1161,688599,19.42
1162,300476,267.03
1163,601211,19.08
1164,688663,41.76
1165,301129,27.11
1166,000423,48.04
1167,603268,50.68
1168,003028,31.25
1169,600600,68.14
1170,301166,30.83
1171,688008,144.6
1172,002396,28.79
1173,301112,47.86
1174,688768,46.8
1175,301285,48.36
1176,603087,70.9
1177,000608,1.93
1178,603351,27.21
1179,002551,4.0
1180,603385,6.69
1181,300020,3.52
1182,600726,2.54
1183,920556,11.3
1184,000582,8.76
1185,603303,13.43
1186,600623,8.99
1187,600551,8.71
1188,300044,4.3
1189,600780,5.99
1190,600578,4.59
1191,300942,10.26
1192,000820,2.5
1193,600784,6.46
1194,600759,2.33
1195,920541,15.65
1196,002244,11.7
1197,000786,24.7
1198,600708,3.64
1199,002038,7.37
1200,603335,5.38
1201,603429,10.42
1202,000656,1.38
1203,002242,9.47
1204,002758,9.09
1205,002314,2.86
1206,603817,6.47
1207,300110,3.26
1208,603828,5.31
1209,301111,16.4
1210,000883,4.68
1211,002076,1.86
1212,600023,5.24
1213,002589,2.87
1214,603868,36.55
1215,603876,11.08
1216,000927,2.69
1217,688051,44.08
1218,002228,3.42
1219,601866,2.61
1220,601009,11.66
1221,601006,5.9
1222,600125,6.27
1223,601901,8.19
1224,605368,9.83
1225,600136,1.78
1226,002412,6.51
1227,300097,5.65
1228,002817,7.65
1229,688381,28.11
1230,600199,10.4
1231,600278,7.5
1232,300430,20.15
1233,002936,2.03
1234,000900,4.22
1235,600398,6.54
1236,600267,10.47
1237,002020,18.41
1238,002293,8.89
1239,300257,15.43
1240,601518,2.8
1241,002578,3.54
1242,002339,8.22
1243,300267,3.47
1244,688205,99.69
1245,688277,17.9
1246,301231,23.7
1247,002872,4.9
1248,000756,16.06
1249,000716,6.23
1250,002349,7.33
1251,000838,2.92
1252,601127,160.55
1253,002330,4.77
1254,001227,2.41
1255,002574,5.85
1256,002462,13.72
1257,601298,8.61
1258,002959,49.02
1259,301365,23.69
1260,601633,23.62
1261,688005,28.22
1262,920027,26.5
1263,301200,91.8
1264,301363,23.13
1265,603358,41.32
1266,688011,39.99
1267,601788,18.8
1268,600999,17.33
1269,002859,31.0
1270,001289,18.16
1271,000739,16.25
1272,603589,33.39
1273,600976,40.43
1274,300504,13.9
1275,920504,26.88
1276,301211,12.04
1277,688366,50.98
1278,688521,170.7
1279,001217,12.21
1280,000828,12.0
1281,001376,12.87
1282,603967,11.89
1283,002943,36.12
1284,603886,12.25
1285,300463,11.59
1286,603189,21.43
1287,688222,22.86
1288,603565,10.61
1289,300254,10.89
1290,600894,10.08
1291,300120,10.24
1292,920339,10.27
1293,600602,19.8
1294,600161,19.16
1295,000738,19.95
1296,603658,38.71
1297,600055,17.41
1298,603366,9.43
1299,002197,9.44
1300,603008,17.68
1301,600150,35.29
1302,600986,8.05
1303,600663,8.66
1304,600587,16.82
1305,600597,8.57
1306,301516,17.26
1307,002262,25.95
1308,601827,8.32
1309,000651,40.77
1310,603025,16.3
1311,603307,45.0
1312,920522,60.6
1313,603202,95.35
1314,002594,106.96
1315,600731,7.42
1316,001215,38.0
1317,600030,29.65
1318,002100,7.67
1319,000933,22.41
1320,600195,7.36
1321,000598,6.91
1322,002581,7.33
1323,000869,21.88
1324,688779,7.1
1325,300261,7.18
1326,002019,13.98
1327,601900,12.93
1328,600116,6.65
1329,688338,26.26
1330,601949,6.67
1331,605287,26.06
1332,600909,6.44
1333,603195,44.77
1334,603586,19.27
1335,600478,6.31
1336,688273,43.83
1337,600719,6.29
1338,300039,6.14
1339,605177,19.19
1340,603128,6.12
1341,300701,12.51
1342,301262,23.49
1343,600655,5.85
1344,600312,17.68
1345,002099,5.71
1346,002399,11.79
1347,688638,41.43
1348,002620,6.05
1349,300239,5.58
1350,603789,5.61
1351,601968,5.45
1352,002216,10.92
1353,600050,5.5
1354,002136,11.15
1355,600104,16.79
1356,300184,10.87
1357,603896,20.86
1358,600256,5.29
1359,603291,10.72
1360,600897,14.61
1361,002332,9.84
1362,600624,5.0
1363,002857,24.88
1364,603369,40.22
1365,605180,15.31
1366,002541,19.49
1367,600713,5.02
1368,688611,39.3
1369,603180,19.94
