,代码,最新价
0,871857,30.56
1,831834,20.0
2,688081,28.48
3,688135,33.64
4,301421,88.12
5,688279,263.52
6,301013,24.36
7,301222,35.24
8,300368,17.05
9,300959,82.0
10,301012,26.49
11,688627,142.8
12,300331,38.47
13,300789,31.61
14,301488,218.03
15,300684,44.61
16,300755,22.04
17,688159,82.59
18,688071,46.78
19,300115,31.64
20,300443,31.37
21,830839,45.91
22,688549,9.49
23,300843,60.18
24,300697,19.49
25,688059,82.51
26,301392,178.05
27,300219,7.62
28,688308,23.06
29,688516,50.33
30,688306,14.21
31,300469,88.8
32,688205,117.0
33,301502,57.5
34,688557,39.98
35,601388,3.26
36,000981,3.7
37,601908,4.68
38,600537,4.36
39,600735,6.66
40,600162,2.62
41,600207,6.01
42,600376,7.34
43,002677,7.78
44,002501,2.74
45,603725,11.07
46,603809,17.44
47,000737,15.25
48,001267,18.22
49,605178,28.67
50,000700,12.41
51,600114,33.5
52,002423,14.6
53,002148,11.42
54,603637,13.18
55,002562,7.25
56,001234,33.18
57,603786,76.52
58,603618,8.35
59,600089,16.15
60,603219,21.44
61,002338,55.62
62,002448,11.65
63,600699,33.53
64,605289,59.95
65,603040,70.4
66,600322,3.3
67,600143,21.89
68,605389,53.37
69,001283,88.22
70,600651,8.91
71,002126,43.9
72,002796,20.79
73,002222,46.4
74,603992,31.9
75,603297,108.2
76,600379,12.99
77,000045,12.44
78,002549,18.05
79,603988,28.96
80,000559,10.47
81,603013,27.54
82,002631,5.29
83,603626,16.09
84,002245,19.51
85,603980,6.4
86,603269,12.24
87,002617,10.81
88,600170,3.53
89,002067,6.51
90,002059,6.07
91,600658,6.85
92,601619,4.86
93,301086,70.58
94,002514,7.74
95,301008,41.95
96,600816,3.55
97,600337,2.45
98,300539,41.32
99,688665,67.32
100,300803,172.88
101,300588,20.58
102,002683,40.98
103,002517,28.06
104,836270,22.45
105,300912,18.06
106,600580,51.7
107,688710,46.85
108,301413,195.5
109,688335,21.49
110,301368,82.11
111,300628,41.16
112,300604,64.75
113,300456,25.22
114,300147,11.49
115,002472,48.45
116,301123,51.53
117,300328,19.14
118,603516,166.5
119,301119,41.83
120,603298,28.85
121,688109,49.38
122,300408,45.49
123,300057,6.73
124,603920,49.65
125,430090,9.62
126,300207,30.94
127,600884,15.48
128,430718,21.82
129,002202,13.23
130,301237,47.86
131,688307,34.84
132,833751,25.15
133,301100,20.68
134,002664,33.32
135,603319,45.46
136,301002,44.75
137,605228,19.16
138,603486,105.0
139,600203,15.89
140,836871,20.54
141,300709,54.79
142,688981,117.39
143,603596,54.53
144,300329,14.75
145,002434,9.67
146,688326,128.5
147,688332,121.05
148,603197,42.85
149,000887,26.17
150,002050,41.9
151,688169,218.0
152,001225,44.31
153,300857,167.6
154,603766,12.99
155,871553,12.68
156,300750,377.1
157,688110,126.25
158,300680,66.15
159,688167,175.97
160,688800,82.1
161,300620,107.1
162,688010,31.02
163,688210,53.8
164,688502,433.26
165,600060,22.15
166,600635,4.85
167,300322,25.76
168,688191,30.05
169,603790,24.64
170,300748,37.9
171,603267,57.65
172,688401,44.81
173,002104,26.62
174,605288,111.8
175,601699,14.63
176,688200,188.07
177,300852,48.39
178,603758,16.3
179,605580,28.62
180,603275,58.11
181,301345,221.6
182,603111,8.33
183,301327,72.49
184,605222,19.11
185,002718,23.36
186,300126,8.39
187,688012,227.2
188,688072,200.8
189,001212,55.73
190,002611,19.02
191,603699,37.39
192,688313,72.7
193,002918,15.25
194,300503,34.18
195,688683,38.29
196,300433,32.1
197,300457,34.97
198,301095,82.8
199,000006,8.05
200,601136,23.88
201,300007,68.75
202,873690,35.0
203,688567,20.9
204,836957,16.42
205,300606,21.94
206,600930,6.71
207,605068,32.45
208,000837,15.73
