,代码,最新价
0,838030,9.88
1,831834,26.0
2,300126,10.07
3,300507,10.44
4,688629,106.21
5,688205,140.4
6,301013,29.23
7,301446,33.98
8,301042,54.92
9,301215,7.8
10,300521,32.3
11,300620,123.16
12,688403,15.48
13,688028,47.6
14,300912,20.49
15,688339,27.62
16,688062,54.75
17,688081,32.16
18,300185,3.36
19,688400,50.02
20,688012,253.18
21,688325,86.4
22,688519,81.07
23,600157,1.71
24,301389,72.85
25,600337,2.7
26,300602,35.69
27,600400,3.03
28,600527,2.6
29,603618,9.19
30,600056,12.05
31,002059,6.68
32,603158,11.96
33,603359,10.42
34,000559,11.52
35,002476,6.04
36,600498,28.88
37,605089,30.09
38,002062,11.31
39,002949,15.94
40,600706,11.87
41,603626,17.7
42,001234,36.5
43,002402,43.95
44,603988,31.86
45,001389,84.33
46,002674,15.61
47,603016,29.78
48,603757,54.77
49,000981,4.07
50,002768,52.47
51,600487,22.22
52,603186,43.44
53,605255,83.6
54,605288,122.98
55,603297,119.02
56,601869,109.65
57,600143,24.08
58,600651,9.8
59,002272,18.5
60,002975,69.78
61,600699,36.88
62,603686,21.02
63,002067,7.16
64,603269,13.46
65,603030,3.31
66,002905,15.44
67,002641,4.64
68,600869,8.18
69,600376,8.07
70,600162,2.88
71,600170,3.88
72,600580,56.67
73,600745,49.32
74,301345,242.51
75,300731,49.72
76,688535,104.0
77,300358,9.02
78,605305,41.79
79,300115,34.5
80,832000,26.8
81,603786,83.3
82,834407,24.25
83,002050,45.55
84,603667,51.8
85,601512,10.33
86,300606,23.8
87,301155,90.25
88,301018,79.19
89,603031,41.28
90,688027,347.65
91,603119,115.48
92,688698,77.8
93,600167,7.17
94,688031,62.76
95,688630,156.0
96,601777,12.77
97,002158,28.74
98,300969,118.5
99,688401,48.15
100,688201,15.5
101,301210,52.3
102,688361,101.85
103,603166,19.35
104,603893,223.51
105,301421,94.5
106,301629,174.35
107,002065,10.58
108,688237,54.98
109,300765,51.8
110,002826,20.78
111,600749,23.96
112,600522,16.89
113,300499,34.51
114,835640,30.96
115,301257,53.8
116,605389,57.02
117,600103,4.85
118,600410,23.8
119,002011,13.8
120,002745,9.88
121,600822,13.19
122,002108,4.28
123,002487,43.52
124,600284,9.89
125,000610,15.0
126,688210,57.37
127,301031,112.38
128,831370,5.52
129,688072,213.98
130,300548,127.78
131,603316,12.29
132,688143,50.64
133,603683,32.98
134,002148,12.15
135,002463,75.42
136,603033,13.22
137,831278,13.47
138,000428,4.12
139,002236,19.84
140,002892,16.97
141,688367,21.07
142,603687,9.37
143,002843,25.16
144,603755,29.76
145,603368,20.03
146,603256,40.1
147,300450,56.73
148,688593,25.27
149,301029,33.02
150,688372,81.99
151,603220,24.79
152,301489,231.08
153,688350,24.52
154,300467,27.1
155,000705,9.8
156,603332,14.74
157,603370,55.8
158,603726,20.45
159,301607,39.89
160,002320,9.35
161,688178,28.31
162,300767,23.7
163,002715,25.07
164,688239,39.34
165,600183,56.39
166,688135,35.45
167,301168,42.55
168,002709,31.27
169,301260,23.0
170,601138,64.36
171,603222,13.92
172,603013,29.0
173,601890,9.97
174,688306,14.95
175,300091,3.23
176,000938,30.94
177,601965,19.04
178,000661,130.31
179,605003,25.05
180,688392,90.97
181,002305,2.47
182,688775,328.04
183,605289,63.01
184,002897,48.5
185,000823,14.44
186,002031,9.51
187,002916,197.47
188,688373,8.29
189,835207,27.86
190,002632,10.84
191,002472,50.89
192,002058,28.25
193,002033,9.85
194,002868,26.25
195,000691,9.04
196,603389,28.82
197,603843,4.43
198,603261,21.93
199,002918,16.01
200,002215,13.33
201,603398,7.19
202,002289,38.55
203,600289,6.57
204,000721,10.83
205,301307,41.0
206,688549,9.95
207,688553,25.71
208,300277,16.55
209,300642,25.73
210,600530,7.7
211,603138,17.43
212,603099,51.67
213,002245,20.43
214,300135,4.68
215,002371,407.7
216,300850,38.3
217,300897,30.74
218,301008,43.89
219,002542,4.1
220,002549,18.87
221,001326,42.7
222,831641,21.73
223,688195,114.96
224,301297,42.0
225,688084,87.65
226,300885,27.23
227,839946,11.45
228,002008,41.71
229,600172,5.06
230,688221,15.54
231,688691,75.34
232,688036,93.0
233,688093,42.8
234,603168,8.67
235,832662,36.99
236,002544,28.03
237,000034,45.34
238,000628,54.08
239,001400,81.24
240,600114,34.87
241,300041,11.45
242,000880,48.21
243,688981,122.15
244,688720,48.88
245,300122,22.66
246,301191,115.07
247,603306,51.79
248,688279,274.0
249,603322,41.33
250,688300,56.6
251,605287,21.4
252,688381,27.99
253,688433,59.5
254,301456,29.41
255,605488,37.15
256,002010,6.69
257,834058,42.6
258,600653,2.41
259,603165,15.32
260,002436,23.24
261,605188,18.95
262,688356,103.81
263,300456,26.18
264,600860,12.87
265,301197,20.47
266,002409,64.33
267,688006,36.99
268,603124,93.31
269,300726,39.97
270,002374,3.1
271,002080,37.81
272,603058,9.69
273,603813,22.8
274,603380,51.92
275,002356,3.72
276,833455,11.16
277,002344,4.88
278,688685,64.02
279,002294,54.5
280,688244,25.33
281,301182,39.05
282,600833,14.58
283,300539,42.78
284,002837,78.08
285,300629,20.58
286,000682,11.78
287,300195,8.56
288,002536,27.76
289,871478,32.61
290,688668,113.39
291,688448,46.81
292,600228,5.71
293,688141,51.8
294,002269,3.02
295,300547,46.0
296,300815,29.16
297,000718,3.36
298,300805,13.5
299,002581,8.88
300,301017,12.07
301,002139,16.27
302,002156,34.84
303,601689,81.55
304,300054,33.0
305,600537,4.5
306,002277,7.42
307,603871,12.93
308,688498,390.11
309,688531,59.78
310,300120,9.8
311,834014,14.78
312,600841,6.92
313,601231,19.44
314,000503,10.57
315,300435,19.85
316,300701,14.97
317,430476,28.92
318,688652,79.69
319,002429,6.68
320,300047,17.67
321,300976,65.87
322,688120,129.82
323,002579,13.32
324,301319,35.82
325,300093,14.4
326,688409,63.76
327,831526,31.13
328,688011,44.35
329,688543,49.82
330,603511,16.53
331,003043,52.52
332,600119,8.52
333,300986,12.12
334,000014,16.77
335,000061,9.34
336,603286,40.68
337,000950,5.4
338,002708,13.32
339,002224,4.68
340,688019,190.96
341,600789,10.1
342,600754,24.95
343,688266,108.09
344,688333,80.4
345,603767,30.63
346,002205,13.51
347,002518,39.44
348,002685,8.5
349,601598,6.7
350,601880,1.87
351,300199,24.82
352,003007,36.5
353,600735,6.84
354,002394,11.44
355,002281,69.16
356,600501,25.28
357,002989,38.01
358,002232,22.39
359,688088,61.31
360,603949,22.82
361,834765,25.15
362,002226,6.58
363,833533,40.82
364,603159,24.5
365,603201,19.8
366,300729,15.6
367,600448,3.92
368,836699,61.47
369,603883,17.56
370,002501,2.81
371,002938,54.95
372,688282,44.49
373,002803,18.15
374,002422,37.88
375,603237,18.73
376,000733,49.58
377,300586,10.99
378,873152,35.11
379,603992,32.7
380,001308,24.1
381,002420,7.78
382,301566,18.18
