,代码,最新价
0,601026,29.68
1,300389,20.1
2,300300,5.83
3,920225,31.0
4,301617,94.5
5,301365,26.03
6,300539,54.97
7,688098,11.43
8,002004,5.01
9,002678,5.12
10,000592,3.71
11,002108,4.26
12,002490,6.78
13,000626,9.76
14,605303,18.87
15,002017,26.36
16,603101,11.86
17,603313,9.33
18,002083,5.6
19,001282,23.61
20,603933,19.98
21,603367,23.27
22,002185,12.96
23,603938,19.35
24,002825,13.08
25,600382,7.47
26,600408,2.97
27,600231,2.42
28,002552,18.7
29,600403,6.6
30,601956,8.14
31,603162,11.22
32,002767,20.68
33,000905,9.36
34,002208,12.99
35,003023,24.0
36,603042,15.98
37,003016,8.93
38,002320,14.0
39,600078,10.26
40,601718,3.86
41,601212,6.53
42,600617,4.0
43,301207,19.49
44,300483,15.15
45,920445,11.97
46,300491,33.2
47,300952,37.94
48,301563,166.0
49,300588,27.71
50,300512,10.01
51,600748,6.25
52,688038,21.06
53,920651,41.1
54,688585,88.85
55,002654,15.67
56,300061,11.66
57,301148,34.49
58,000006,12.24
59,600333,7.25
60,300204,39.9
61,300683,36.47
62,600515,4.5
63,300690,39.59
64,002759,24.16
65,301049,22.32
66,001234,29.04
67,002177,8.2
68,300164,5.99
69,000014,23.53
70,000600,9.43
71,688215,82.34
72,300620,104.75
73,603053,11.4
74,300076,6.53
75,688768,49.21
76,300332,6.33
77,002305,2.47
78,600681,4.15
79,300082,8.33
80,300708,9.39
81,600107,8.79
82,600624,5.25
83,600735,5.04
84,301181,36.22
85,002870,39.8
86,603353,17.9
87,000609,4.45
88,603398,7.64
89,002592,7.44
90,600897,15.33
91,603931,31.25
92,002679,11.17
93,300093,13.8
94,002658,8.55
95,300959,80.43
96,603017,10.66
97,300642,28.18
98,000655,9.92
99,002647,6.91
100,002581,7.65
101,002207,8.42
102,002047,2.41
103,002716,8.04
104,600745,38.5
105,301231,24.71
106,301468,27.72
107,920145,26.65
108,301584,28.05
109,002731,14.39
110,301069,23.98
111,301010,21.3
112,600179,4.28
113,002820,12.86
114,300863,49.56
115,300768,21.86
116,002713,7.94
117,600545,3.17
118,600496,4.24
119,300849,13.88
120,301323,79.19
121,300641,22.6
122,605099,31.37
123,002513,8.44
124,300983,24.51
125,603189,22.23
126,300890,32.75
127,688398,20.67
128,600815,2.84
129,601069,33.26
130,600666,3.45
131,300302,22.51
132,300103,7.25
133,920152,22.39
134,300878,23.39
135,301099,52.29
136,301203,35.1
137,300414,13.2
138,002828,10.75
139,301100,20.95
140,002990,28.62
141,002663,2.12
142,300096,8.5
143,000505,6.73
144,603269,13.5
145,603885,14.1
146,603307,46.48
147,002774,9.8
148,002700,7.31
149,603232,16.56
150,300723,55.55
151,603351,28.08
152,301201,32.78
153,300086,7.85
154,603813,27.72
155,605189,17.6
156,002571,9.43
157,600149,5.41
158,300611,34.98
159,300139,28.78
160,601089,23.35
161,600593,37.98
162,603086,10.14
163,920729,9.79
164,002397,3.86
165,600712,7.11
166,003041,25.26
167,688068,182.28
168,600506,20.52
169,688708,73.62
170,300368,18.31
171,300675,16.02
172,301668,54.3
173,300437,9.57
174,301027,19.23
175,600792,4.23
176,601187,6.91
177,688610,72.44
178,002279,7.37
179,002370,7.75
180,001318,14.22
181,002496,1.58
182,002656,2.37
183,603038,20.73
184,688577,115.99
185,002251,5.74
186,002295,13.1
187,002941,19.8
188,002240,19.6
189,301331,31.4
190,001203,13.1
191,603217,25.19
192,002267,8.57
193,688620,12.53
194,600595,6.06
195,920022,32.24
196,002940,44.82
197,300692,8.71
198,301446,30.9
199,600629,38.1
200,001390,25.78
201,603843,5.83
202,688105,22.77
203,601969,9.15
204,600489,24.96
205,002948,5.1
206,601121,7.14
207,600503,3.35
208,002973,15.83
209,603559,8.21
210,002317,17.45
211,300975,13.21
212,300910,54.39
213,600012,14.86
214,002402,50.46
215,301348,24.69
216,002952,21.19
217,603900,10.63
218,601900,13.19
219,002181,8.64
220,600269,5.1
221,300844,50.33
222,002163,10.89
223,002084,4.15
224,000638,4.65
225,300976,66.2
226,601021,53.71
227,605199,8.96
228,000531,6.91
229,301078,11.24
230,002110,4.3
231,002109,3.75
232,688153,35.13
233,002807,4.87
234,688382,28.27
235,600784,6.58
236,600605,33.35
237,002424,6.06
238,002141,3.85
239,002115,11.59
240,920275,9.37
241,605169,16.75
242,300308,373.6
243,603318,6.86
244,000415,3.44
245,601288,7.62
246,601003,5.28
247,300150,5.92
248,605499,303.0
249,688317,22.78
250,000504,9.01
251,603272,18.78
252,301130,30.88
253,001328,40.87
254,301075,51.64
255,688786,31.66
256,600381,4.96
257,002016,6.25
258,002793,5.62
259,600547,40.51
260,300608,12.71
261,688198,109.0
262,603861,12.22
263,688308,23.98
264,301188,16.85
265,603320,21.29
266,000719,12.39
267,920706,21.58
268,600188,15.03
269,000766,25.25
270,000045,13.92
271,603458,8.64
272,603558,10.65
273,600692,8.02
274,603213,14.21
275,300486,21.0
276,301042,64.45
277,603848,22.38
278,688236,24.85
279,002363,7.59
280,600777,4.18
281,600802,5.65
282,301165,84.5
283,002100,7.78
284,603690,35.06
285,605599,15.22
286,603778,4.39
287,000506,14.65
288,600901,5.89
289,603079,17.73
290,300658,8.18
291,301115,16.42
292,301367,86.84
293,300972,195.54
294,300235,12.92
295,601111,8.46
296,600846,13.88
297,603759,8.56
298,601011,4.0
299,001965,10.34
300,301139,20.88
301,603059,34.1
302,002144,12.96
303,300938,25.87
304,688758,18.85
305,002550,9.13
306,600789,9.99
307,603026,57.98
308,300237,2.5
309,002040,12.69
310,603939,24.7
311,603889,7.64
312,600119,8.49
313,002848,8.47
314,603069,24.3
315,600039,8.64
316,601728,6.91
317,301136,11.29
318,603377,3.52
319,002790,7.9
320,002932,19.6
321,300052,11.5
322,300517,11.5
323,000429,11.64
324,600769,13.56
325,688276,21.92
326,300147,10.93
327,600725,3.65
328,603233,17.5
329,600568,1.86
330,003013,15.74
331,002556,5.6
332,001337,29.68
333,000663,6.67
334,688290,65.88
335,300819,25.15
336,601107,5.82
337,000632,3.91
338,600259,58.8
339,603551,11.89
340,000524,13.83
341,605011,21.89
342,600730,9.0
343,000593,6.98
344,002971,37.35
345,002670,21.26
346,600638,6.15
347,601665,6.18
348,600350,9.23
349,300327,26.12
350,600719,6.35
351,688058,34.41
352,600731,7.49
353,688670,15.22
354,300388,9.77
355,002050,43.32
356,301551,35.17
357,001330,5.57
358,001211,25.46
359,603511,15.51
360,002839,4.46
361,002453,6.79
362,600486,68.8
363,600033,3.48
364,002133,3.57
365,003043,48.65
366,300614,14.3
367,001267,14.77
368,000407,3.7
369,600377,13.45
370,003017,34.66
371,300668,17.65
372,002847,74.0
373,002671,5.03
374,000908,6.28
375,600153,10.38
376,600422,14.24
377,002102,3.87
378,603817,6.52
379,920509,39.3
380,002532,11.86
381,600493,6.61
382,000564,2.7
383,002653,52.5
384,600773,11.02
385,002811,13.73
386,920357,26.15
387,000701,5.5
388,002104,20.75
389,000656,1.39
390,002020,18.54
391,603192,25.49
392,000975,23.96
393,001376,12.96
394,002910,10.27
395,002702,4.38
396,600926,16.4
397,300500,13.35
398,605577,13.4
399,600556,5.88
400,600985,13.36
401,600115,4.48
402,688178,25.39
403,301128,82.29
404,601198,12.04
405,600578,4.62
406,300291,6.18
407,601975,3.16
408,920010,14.28
409,002311,61.09
410,002437,3.25
411,301560,35.53
412,003035,4.92
413,600121,4.95
414,000019,6.85
415,603301,67.93
416,003005,22.64
417,688011,40.22
418,601298,8.66
419,603689,8.88
420,601825,8.86
421,002078,14.23
422,000899,10.52
423,920505,58.6
424,600236,7.17
425,002946,17.88
426,920088,33.87
427,600507,5.39
