代码,昨收
002213,18.52
600753,6.81
002272,13.59
600885,25.9
000815,13.55
003010,51.67
603186,35.07
300049,48.9
300672,93.12
002229,18.94
002024,1.9
603709,15.22
600028,5.68
002869,27.16
600855,17.12
000977,54.29
688318,123.32
600547,31.28
838924,27.37
600881,1.91
601199,5.74
301558,9.56
002639,11.51
688502,328.87
301004,69.5
603058,10.31
688004,25.51
688576,73.35
002195,5.87
600095,11.19
000793,2.64
301326,95.1
603686,17.83
300547,39.85
600333,5.3
300840,23.11
000096,12.12
000822,6.04
300332,5.38
603341,40.37
603613,23.52
688161,31.78
300182,6.09
601818,4.06
300563,39.26
300961,18.86
600744,7.47
603012,6.14
600337,2.06
688158,25.29
688358,34.6
603016,27.5
301413,89.87
837592,50.08
300492,61.31
002830,18.0
601166,22.88
600289,6.95
002627,5.55
002121,6.96
920029,93.98
600797,9.86
603203,28.17
002243,8.47
603298,21.23
600770,5.66
002529,6.39
603893,160.36
600243,3.54
000923,14.26
600409,5.72
603056,16.44
002177,6.47
688363,53.31
688775,182.95
300995,48.8
600084,5.76
300888,40.5
300803,91.27
002553,26.25
600096,24.9
300738,20.42
688205,70.07
603162,8.8
003816,3.69
300782,76.21
601319,8.17
688459,10.34
301518,23.85
603416,56.57
601658,5.96
000004,8.94
601899,20.25
600783,12.83
002369,9.12
301048,15.13
000830,12.16
002918,9.07
000776,19.71
301399,24.18
300371,13.73
300739,16.08
603683,21.44
002277,6.12
430425,23.7
002264,6.86
000615,3.07
300442,49.99
601636,6.15
601789,5.41
688199,25.56
600971,7.02
000913,17.2
002895,25.18
603079,18.88
300814,37.0
873706,28.29
001390,24.42
605090,29.39
605319,34.83
831855,20.66
300684,32.74
002311,57.55
603816,26.46
002601,17.65
002925,18.52
837092,42.79
002187,6.43
300396,15.36
002267,8.05
601177,19.59
300533,37.28
600635,4.07
688103,62.41
600179,3.25
600165,4.08
600016,4.89
300509,9.87
603096,18.92
603375,40.85
002620,4.11
601666,8.23
000921,25.45
300093,14.82
603124,60.85
601326,3.34
001225,40.95
603014,40.92
000596,146.74
600428,6.72
301489,147.42
603589,34.35
603606,48.91
300377,24.59
002043,10.14
002440,7.64
002299,16.96
000419,5.95
002128,20.35
000933,18.81
601398,7.7
002313,14.49
600546,10.27
600683,4.29
603890,12.91
600153,10.33
300085,42.27
600519,1445.0
603880,7.01
600903,7.02
002733,19.23
603689,8.76
601083,12.31
300529,23.72
301138,38.66
601689,46.68
600761,18.53
300029,5.3
300151,14.17
002562,6.21
300673,15.97
002916,138.51
301208,49.02
688661,46.28
002051,8.91
600167,6.23
300398,20.74
301408,15.27
000965,4.49
600346,15.27
000516,5.41
001238,44.64
001236,12.76
600378,27.18
000929,8.24
688646,30.22
002565,8.23
601998,8.24
688275,48.33
300266,2.78
688606,75.26
601808,13.9
601717,17.68
600055,17.76
600961,12.1
601600,7.51
603856,12.15
300793,18.74
601918,6.59
301288,14.16
300313,10.38
300206,13.38
300818,24.74
002006,17.16
002011,12.42
605005,19.3
600382,5.76
600503,2.89
300147,7.68
831039,15.36
301139,20.22
002076,1.94
601688,20.29
688648,44.73
600814,7.79
688386,65.79
600237,7.74
603993,9.82
300333,14.73
688347,62.66
601336,62.58
600927,15.64
301001,32.44
002862,18.84
002075,6.95
000625,12.95
603881,26.07
002973,14.95
301381,20.9
603383,41.06
603318,6.98
000731,7.1
605368,10.1
300535,21.13
300132,6.07
600981,3.05
000702,8.19
600967,25.62
838227,69.25
002693,8.17
002668,10.25
600908,6.1
000937,6.2
000968,7.22
603229,11.32
832171,30.85
301515,23.98
430300,17.74
301356,18.75
001215,29.02
002936,2.09
301419,32.57
000600,7.38
300395,75.58
300097,5.29
600997,6.29
000021,18.95
000628,50.12
002966,8.55
601766,7.5
002799,8.61
300698,47.06
000017,6.44
002223,35.59
873665,16.12
603027,11.83
300439,11.82
002034,17.42
603505,16.26
000858,123.94
301511,33.6
000813,4.33
600363,59.15
603789,5.51
600751,4.39
300979,51.63
601328,7.67
002771,17.86
600826,11.09
000718,2.23
603919,18.97
603019,68.21
603969,8.94
600651,6.74
688366,54.9
601988,5.62
601963,10.21
603609,9.04
002656,2.31
001299,12.63
603000,20.77
002832,16.12
301316,50.25
601318,58.47
002850,116.31
600408,2.33
000048,16.3
600956,8.18
688171,42.88
000726,7.0
002840,10.63
600561,7.02
002807,4.68
002443,7.02
600199,10.55
002947,37.86
600694,19.9
603328,10.62
600633,14.07
000407,3.58
002317,21.45
605179,20.13
000153,7.14
002126,29.87
601628,40.48
000617,8.43
301377,55.35
600676,6.04
300736,12.1
002718,18.03
603339,13.24
300472,6.0
600559,17.03
002003,10.96
001216,14.63
688267,30.37
002594,105.52
301658,34.64
002856,12.4
300298,21.03
001227,2.48
300059,23.8
603387,8.8
002615,8.71
002836,10.17
000715,6.32
605069,11.36
600513,23.97
603365,17.73
601298,8.83
603801,10.09
301312,46.12
000807,16.76
000552,2.55
688012,193.4
300347,66.89
600061,7.75
601229,10.33
000719,13.02
688617,298.0
601156,14.55
601601,36.88
601799,121.58
601010,2.63
300913,51.12
300052,10.5
000593,6.63
002005,2.65
000065,12.05
920088,39.98
002714,46.75
000707,6.68
600769,10.73
300300,5.3
301085,60.8
600388,12.11
300790,24.39
688217,30.89
603197,40.49
300408,34.9
301205,94.9
000063,34.0
000753,5.41
600082,4.06
301315,54.66
000011,9.56
002516,5.5
688097,31.66
688047,126.17
688018,153.23
002922,17.78
605098,36.8
301528,64.18
600398,6.99
688313,55.45
600121,4.16
300380,47.45
300026,4.21
002275,15.54
301067,36.5
600989,15.47
300755,18.26
000526,53.48
000729,12.61
000960,18.4
300795,15.51
001965,11.28
601598,5.63
300824,12.84
000750,4.26
300592,11.51
300482,24.31
000333,71.76
603529,35.66
300001,23.0
600692,8.63
688575,15.82
300869,18.52
601975,2.89
600157,1.45
688389,14.45
300391,4.37
603551,11.62
688159,58.23
603967,11.81
603355,23.53
600621,16.15
000983,7.38
002475,38.01
002334,8.76
601702,16.43
301093,26.96
603980,5.96
002797,7.45
600874,6.01
603997,11.95
688052,172.2
002911,10.4
603309,14.9
000668,8.9
603733,25.25
