,代码,最新价
0,300115,37.72
1,301086,79.3
2,300539,48.48
3,688332,139.82
4,300836,56.41
5,688330,40.74
6,300250,21.91
7,301052,83.99
8,301319,42.08
9,300111,5.95
10,688521,203.0
11,688679,19.95
12,301178,70.8
13,688123,107.89
14,301013,30.5
15,688228,214.0
16,301338,75.23
17,688698,86.51
18,301117,37.95
19,300493,24.4
20,688028,50.71
21,300475,87.66
22,300400,27.37
23,301008,48.5
24,837212,18.63
25,688678,36.5
26,688171,54.94
27,301512,51.95
28,301489,267.98
29,871857,28.36
30,301095,90.46
31,688381,30.2
32,688339,28.91
33,301227,44.0
34,301133,31.34
35,688215,76.77
36,300959,80.0
37,688360,26.36
38,301391,79.72
39,688041,261.21
40,300993,22.41
41,300501,18.09
42,300620,138.21
43,300486,23.59
44,688607,31.73
45,000509,3.48
46,002239,3.59
47,000981,4.26
48,002059,8.09
49,600376,7.99
50,002453,7.33
51,000727,3.07
52,603429,12.93
53,002249,10.63
54,603633,13.37
55,603011,18.66
56,603269,13.73
57,002957,19.99
58,002549,22.84
59,605100,27.13
60,002006,22.52
61,002045,17.69
62,600996,9.89
63,603239,20.23
64,000603,22.3
65,002925,19.56
66,002654,15.82
67,002298,10.89
68,600105,11.0
69,605255,101.16
70,603226,31.45
71,603215,22.88
72,001221,67.41
73,001309,155.11
74,002402,50.17
75,002065,11.33
76,002475,60.95
77,002276,20.57
78,600857,14.74
79,002980,25.74
80,002938,63.45
81,603019,117.51
82,603322,46.35
83,603286,42.93
84,603618,11.12
85,605488,40.4
86,603686,25.43
87,002837,81.88
88,002145,5.84
89,688110,122.84
90,002718,26.77
91,600635,5.51
92,600375,8.05
93,002662,4.19
94,600167,7.94
95,002849,16.54
96,603421,8.17
97,600797,11.59
98,301308,140.7
99,002513,5.86
100,002716,6.75
101,600400,3.66
102,688293,58.7
103,872808,101.24
104,002916,214.8
105,688335,21.07
106,301529,89.25
107,831641,23.26
108,688081,35.77
109,002246,18.77
110,301053,37.74
111,688099,99.6
112,688449,57.0
113,600489,19.98
114,300139,27.13
