,代码,最新价
0,301323,76.1
1,300950,40.57
2,301071,41.1
3,920725,31.7
4,300260,74.78
5,301099,46.43
6,300677,43.52
7,300684,44.37
8,300179,12.87
9,920351,29.8
10,300695,114.4
11,600617,3.36
12,002775,4.92
13,000626,7.33
14,002370,6.24
15,002040,12.5
16,600819,8.22
17,600067,3.4
18,000969,19.86
19,002636,13.5
20,002942,21.86
21,002911,14.05
22,605188,19.0
23,600843,13.73
24,603690,40.43
25,002171,11.32
26,002017,25.28
27,001225,52.2
28,605055,10.78
29,601011,3.96
30,600403,4.95
31,000890,5.28
32,002952,23.13
33,002629,8.48
34,601579,23.24
35,603848,22.13
36,000833,14.87
37,603903,14.65
38,002084,4.52
39,000981,4.74
40,600078,9.92
41,002696,6.84
42,002208,11.14
43,600172,6.07
44,600537,4.1
45,600868,3.33
46,000045,16.25
47,920770,20.61
48,300943,18.39
49,600333,6.7
50,603301,65.89
51,300270,11.65
52,688599,18.74
53,920509,47.77
54,605318,50.67
55,002043,12.35
56,301388,34.66
57,601606,56.0
58,600397,7.88
59,600798,4.37
60,600173,9.85
61,688128,35.85
62,300509,10.94
63,600400,2.97
64,001333,25.68
65,605169,17.97
66,300710,21.73
67,300818,30.12
68,000617,11.81
69,002459,13.86
70,300774,15.98
71,300756,58.66
72,601116,15.95
73,920026,38.55
74,603530,41.51
75,000799,63.55
76,601963,9.9
77,000680,11.36
78,688480,60.83
79,300512,9.98
80,002104,21.96
81,300948,19.69
82,605598,31.23
83,603026,57.55
84,301311,20.29
85,300055,6.99
86,601012,19.28
87,003001,24.4
88,002919,17.56
89,600702,61.85
90,603080,26.86
91,300926,31.33
92,300464,8.7
93,920087,18.1
94,601908,4.41
95,002836,10.6
96,002293,8.5
97,002338,67.76
98,601077,7.16
99,000572,5.9
100,300118,10.94
101,600732,16.66
102,300619,39.89
103,603011,27.68
104,920925,35.4
105,300585,17.82
106,300368,19.89
107,601699,15.4
108,300138,13.99
109,600121,4.49
110,600744,7.11
111,600475,16.88
112,301288,17.13
113,000528,11.5
114,920982,276.6
115,600438,23.12
116,002342,8.2
117,300993,19.35
118,601336,65.5
119,600481,6.34
120,920010,14.3
121,301013,39.9
122,603185,22.53
123,002238,8.45
124,603130,48.4
125,600593,36.18
126,001331,14.98
127,300713,19.86
128,300127,40.75
129,000838,2.84
130,601020,31.36
131,002541,20.0
132,600059,10.04
133,600546,10.68
134,600777,4.31
135,600315,26.59
136,000638,4.13
137,300332,6.19
138,600595,5.59
139,301108,35.18
140,600107,7.92
141,002298,13.97
142,300588,20.22
143,000006,13.79
144,603389,39.04
145,002713,6.93
146,002650,7.15
147,300329,14.97
148,001282,22.87
149,601611,11.25
150,301075,42.06
151,002305,2.13
152,002231,2.99
153,600629,30.77
154,300617,40.21
155,002177,7.93
156,688227,34.77
157,000620,1.72
158,300468,39.09
159,600234,12.0
160,300357,30.21
161,002184,15.99
162,603619,20.19
163,300768,21.35
164,002181,8.18
165,600769,14.4
166,301120,18.1
167,003012,7.64
168,603268,48.25
169,002082,15.07
170,600103,3.63
171,000615,3.63
172,920305,11.82
173,920571,10.91
174,300938,24.84
175,600882,26.04
176,688429,16.22
177,301221,55.32
178,920651,38.36
179,688223,5.82
180,300546,26.81
181,603217,24.5
182,001210,17.47
183,301079,28.47
184,002549,28.52
185,920445,11.45
186,601319,8.17
187,920720,16.13
188,300863,48.18
189,603919,20.36
190,300513,9.94
191,002545,14.08
192,600010,2.91
193,000571,5.88
194,600012,14.48
195,300483,14.47
196,300707,15.5
197,300533,38.1
198,601218,6.39
199,000568,132.65
200,688687,28.91
201,603316,13.08
202,601008,6.38
203,600295,10.99
204,301557,88.75
205,002432,39.74
206,920978,40.27
207,002808,5.14
208,603630,24.65
209,000421,6.69
210,601187,6.69
211,300882,19.89
212,000728,9.58
213,300424,16.6
214,301365,19.75
215,002787,8.85
216,300867,20.39
217,600919,10.72
218,300945,21.29
219,601022,10.52
220,300408,47.74
221,688680,48.1
222,603017,10.57
223,600960,5.56
224,600208,4.52
225,603406,47.97
226,002289,36.3
227,301082,20.88
228,601001,15.49
229,002568,26.18
230,002951,15.31
231,920152,21.91
232,300240,8.22
233,600496,3.84
234,920896,21.72
235,601225,21.33
236,000004,13.35
237,002941,19.9
238,603706,22.8
239,002963,14.7
240,002129,9.35
241,002115,11.62
242,600415,19.04
243,002800,15.38
244,603966,11.7
245,601825,8.58
246,603396,29.42
247,920037,91.76
248,920826,13.35
249,003019,34.26
250,600038,37.65
251,002270,22.22
252,600783,14.19
253,002490,6.27
254,301122,25.06
255,688303,27.8
256,000791,6.91
257,301056,12.92
258,920088,35.44
259,301501,49.09
260,605287,24.7
261,688156,19.84
262,603737,48.9
263,605089,26.33
264,920171,25.67
265,600060,25.18
266,601069,34.0
267,002251,5.93
268,300961,16.93
269,002191,4.72
270,301618,59.13
271,001278,18.6
272,688108,28.76
273,000819,20.24
274,603021,4.43
275,920839,48.41
276,003005,23.51
277,300779,176.4
278,600082,4.47
279,002543,12.48
280,688027,397.01
281,003040,20.95
282,000719,12.58
283,000020,14.9
284,601288,7.13
285,301528,60.7
286,603393,29.92
287,605303,17.55
288,300589,13.4
289,601398,7.5
290,002807,4.62
291,000519,19.76
292,003042,16.78
293,300554,26.82
294,600057,7.62
295,601601,36.0
296,600197,15.55
297,002748,10.25
298,300411,13.65
299,301533,41.32
300,920007,72.1
301,920735,37.78
302,002700,7.24
303,301678,80.2
304,601919,14.87
305,603099,46.8
306,601083,11.83
307,920167,19.22
308,920634,30.68
309,002140,12.9
310,600604,6.29
311,920089,18.29
312,600377,13.41
313,600710,10.59
314,688168,81.57
315,603053,11.1
316,600036,41.26
317,301181,34.94
318,002470,1.8
319,300716,15.13
320,601009,11.54
321,600901,5.8
322,920689,36.37
323,301278,34.67
324,600886,14.26
