,代码,昨收
0,920819,4.59
1,920799,58.52
2,920682,10.58
3,920489,22.6
4,920445,12.73
5,920167,21.09
6,920128,34.05
7,920118,28.76
8,920116,74.23
9,920112,42.72
10,920111,31.93
11,920108,17.88
12,920106,100.9
13,920101,49.79
14,920100,88.41
15,920099,30.83
16,920098,33.49
17,920088,39.29
18,920082,21.65
19,920068,20.6
20,920066,31.85
21,920060,39.76
22,920056,30.35
23,920037,89.59
24,920029,97.95
25,920027,30.2
26,920022,10.9
27,920019,24.97
28,920018,33.01
29,920016,23.99
30,920008,34.57
31,920007,78.8
32,920005,51.98
33,920002,124.97
34,873833,24.26
35,873806,15.88
36,873726,39.81
37,873706,25.0
38,873703,16.91
39,873693,48.95
40,873690,32.4
41,873679,26.67
42,873665,15.18
43,873593,41.78
44,873576,31.27
45,873570,43.95
46,873527,21.21
47,873339,10.55
48,873305,57.16
49,873223,21.97
50,873169,32.53
51,873167,24.44
52,873152,31.49
53,873132,22.98
54,873122,42.63
55,873001,24.3
56,872953,38.09
57,872931,18.79
58,872925,30.54
59,872895,26.62
60,872808,103.61
61,872541,16.91
62,872392,37.28
63,872374,31.19
64,872351,28.18
65,872190,31.48
66,871981,40.08
67,871970,11.16
68,871857,22.44
69,871753,28.1
70,871694,22.03
71,871642,16.72
72,871634,30.59
73,871553,12.08
74,871478,31.98
75,871396,32.6
76,871263,21.53
77,871245,34.08
78,870976,28.12
79,870866,10.33
80,870726,20.99
81,870656,19.58
82,870508,24.3
83,870436,20.52
84,870357,28.3
85,870299,19.66
86,870204,22.58
87,870199,39.56
88,839946,10.83
89,839792,15.62
90,839790,49.81
91,839729,10.8
92,839725,28.7
93,839719,18.32
94,839680,11.14
95,839493,163.59
96,839371,12.05
97,839273,41.95
98,838971,38.57
99,838924,29.0
100,838837,18.34
101,838810,16.95
102,838701,21.81
103,838670,21.67
104,838402,12.35
105,838275,11.05
106,838262,28.13
107,838227,65.5
108,838171,18.68
109,838163,18.01
110,838030,7.7
111,837821,32.46
112,837748,58.0
113,837663,22.83
114,837592,48.67
115,837403,25.93
116,837344,30.01
117,837242,37.73
118,837212,16.96
119,837174,39.37
120,837092,42.65
121,837046,15.99
122,837023,19.43
123,837006,30.3
124,836961,39.5
125,836957,15.66
126,836942,43.42
127,836892,17.85
128,836871,19.53
129,836826,14.78
130,836807,20.02
131,836720,17.46
132,836717,13.22
133,836699,61.95
134,836675,12.96
135,836547,29.28
136,836504,30.86
137,836433,7.26
138,836422,15.71
139,836419,15.17
140,836414,15.6
141,836395,15.99
142,836270,21.11
143,836263,16.3
144,836260,14.27
145,836247,35.12
146,836239,38.96
147,836221,22.3
148,836208,28.77
149,836149,16.15
150,836077,15.32
151,835985,9.95
152,835892,23.2
153,835857,7.96
154,835670,17.83
155,835640,29.92
156,835579,28.32
157,835508,29.96
158,835438,49.16
159,835368,31.96
160,835305,16.43
161,835237,28.15
162,835207,27.7
163,835185,34.69
164,835184,24.17
165,835179,36.96
166,835174,57.64
167,834950,23.31
168,834770,21.25
169,834765,21.71
170,834639,9.23
171,834599,21.02
172,834475,22.2
173,834415,18.5
174,834407,20.26
175,834261,16.87
176,834062,12.35
177,834058,38.59
178,834033,20.12
179,834021,7.49
180,834014,14.55
181,833994,32.9
182,833943,28.58
183,833914,40.91
184,833874,20.13
185,833873,8.09
186,833781,11.36
187,833751,23.36
188,833580,18.65
